Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
102.543,-0.016756573,-0.806838522
109.0184439,-0.016355374,-0.857135929
115.9028029,-0.016798881,-0.911898644
123.2218993,-0.016584308,-0.969576177
131.0031862,-0.016677782,-1.031238818
139.2758502,-0.016772438,-1.095658513
148.0709212,-0.017151702,-1.164480494
157.4213883,-0.016978016,-1.238313201
167.3623241,-0.016942071,-1.315581494
177.9310157,-0.016902599,-1.398660363
189.1671051,-0.017110799,-1.48920691
201.1127375,-0.017152185,-1.581573506
213.8127196,-0.016981829,-1.681696424
227.3146873,-0.017138447,-1.787286674
241.669285,-0.017050541,-1.900470087
256.9303551,-0.017044332,-2.019874201
273.1551399,-0.017015954,-2.149446248
290.4044967,-0.017371653,-2.284779284
308.7431258,-0.017324304,-2.428424483
328.2398131,-0.017263023,-2.582139095
348.9676883,-0.017623562,-2.743356591
371.0044992,-0.017417093,-2.917524426
394.4329032,-0.01733956,-3.101828035
419.3407775,-0.017531077,-3.297850565
445.8215485,-0.017568947,-3.505076158
473.9745423,-0.01787745,-3.725218462
503.9053574,-0.01783004,-3.960868686
535.7262608,-0.017873315,-4.212512792
569.5566087,-0.017952512,-4.477339435
605.5232948,-0.018373009,-4.760900588
643.7612257,-0.018464446,-5.062785523
684.4138273,-0.018762656,-5.380324125
727.6335827,-0.018905836,-5.717691556
773.5826038,-0.018919757,-6.080268519
822.4332399,-0.019043813,-6.464977756
874.368724,-0.019728582,-6.870400002
929.5838596,-0.019674859,-7.306232238
988.2857522,-0.020176315,-7.767401453
1050.694585,-0.020502655,-8.258647583
1117.044447,-0.021003523,-8.781159661
1187.584208,-0.021330475,-9.331200163
1262.578454,-0.021914674,-9.922147338
1342.30848,-0.022470032,-10.54855882
1427.073342,-0.022883031,-11.21620174
1517.190985,-0.023935163,-11.92253824
1612.999428,-0.024739644,-12.67347527
1714.858037,-0.025673818,-13.47221121
1823.148872,-0.02676462,-14.32541066
1938.278118,-0.027830465,-15.22932683
2060.677612,-0.02943482,-16.18971692
2190.806459,-0.030716795,-17.21189808
2329.152757,-0.032754924,-18.29736933
2476.235426,-0.034293359,-19.45465943
2632.606155,-0.036484474,-20.67875231
2798.851472,-0.03878452,-21.98435505
2975.594944,-0.042085484,-23.37387558
3163.499513,-0.044508318,-24.84728766
3363.269987,-0.04782788,-26.41193436
3575.655682,-0.052224195,-28.08117527
3801.453229,-0.05557005,-29.85211164
4041.509569,-0.059948957,-31.73148211
4296.725124,-0.065140113,-33.73474062
4568.057176,-0.070695288,-35.86118616
4856.52346,-0.075894708,-38.12417361
5163.205978,-0.08175671,-40.52734159
5489.255059,-0.08882072,-43.08122617
5835.893673,-0.095838592,-45.80266884
6204.42202,-0.103383826,-48.69245323
6596.222406,-0.109936731,-51.76591186
7012.764426,-0.118382251,-55.04135703
7455.61048,-0.125174242,-58.52935467
7926.42163,-0.132493959,-62.24504638
8426.963831,-0.138888608,-66.20674998
8959.114556,-0.144232504,-70.43234605
9524.86984,-0.149026322,-74.94473793
10126.35176,-0.15181576,-79.78130995
10765.81641,-0.152369545,-84.95358701
11445.66233,-0.151965952,-90.5090548
12168.43955,-0.149614523,-96.48060431
12936.85913,-0.146838248,-102.9083702
13753.8033,-0.141649231,-109.848543
14622.33632,-0.136860044,-117.340767
15545.71597,-0.129759989,-125.4662597
16527.40572,-0.122253505,-134.2954573
17571.08778,-0.110821415,-143.9340489
