#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-10-28 18:59:50.694
#Trace: Trace
#Start: 100 Hz
#Stop: 1000 Hz
#Steps: 200
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 1e+06 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Linear
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (Ohm)
100,1341348.262492615
104.5226130653266,1283751.073215372
109.0452261306533,1233310.374023119
113.5678391959799,1183712.871215185
118.0904522613065,1139623.524378998
122.6130653266332,1097437.704805282
127.1356783919598,1059167.091165294
131.6582914572864,1023683.480950169
136.180904522613,990637.3837552695
140.7035175879397,959512.0643534951
145.2261306532663,930268.5888153905
149.7487437185929,900094.3680996544
154.2713567839196,871318.8733676275
158.7939698492462,851905.2289075525
163.3165829145728,810722.900762087
167.8391959798995,803181.8703740442
172.3618090452261,785665.6342788368
176.8844221105527,764298.8659735306
181.4070351758794,740999.6616454715
185.929648241206,720797.9082036053
190.4522613065326,705089.9607670909
194.9748743718593,690209.1159732917
199.4974874371859,678427.3611595411
204.0201005025125,663036.8765212521
208.5427135678392,649710.9099778912
213.0653266331658,638105.6960748859
217.5879396984924,625336.6936227302
222.1105527638191,614647.8146242063
226.6331658291457,602384.7238174301
231.1557788944723,591524.1477241182
235.678391959799,580298.732043708
240.2010050251256,569899.636812491
244.7236180904522,559525.2833182149
249.2462311557789,549939.0795235547
253.7688442211055,541288.6916632899
258.2914572864321,532194.292524591
262.8140703517588,522765.035128899
267.3366834170854,514553.4997454198
271.859296482412,506433.3663273355
276.3819095477387,498522.3361235153
280.9045226130653,491056.0168926244
285.4271356783919,484655.1236313679
289.9497487437186,479252.7357491446
294.4723618090452,475392.7042221539
298.9949748743718,463372.0382746811
303.5175879396985,457192.2086288608
308.0402010050251,450736.1887805791
312.5628140703517,444745.7953325785
317.0854271356784,438663.4822945844
321.608040201005,432693.2983787215
326.1306532663316,427497.6103435595
330.6532663316583,421986.2694449095
335.1758793969849,416820.5029263023
339.6984924623115,411919.4524673176
344.2211055276382,407195.6799375258
348.7437185929648,401772.7359231978
353.2663316582914,397715.6563685071
357.7889447236181,392530.5538001172
362.3115577889447,388162.1249455306
366.8341708542713,384297.3357316199
371.356783919598,379636.0704407569
375.8793969849246,375430.8201573237
380.4020100502512,372609.7471419477
384.9246231155779,368365.5507871234
389.4472361809045,364225.0865045612
393.9698492462311,360803.1200665323
398.4924623115578,357127.0447496942
403.0150753768844,352918.4672735226
407.537688442211,349741.8028227219
412.0603015075377,346608.437052851
416.5829145728643,342880.7387381584
421.1055276381909,339864.8304565202
425.6281407035176,336362.669331335
430.1507537688442,333478.1310197625
434.6733668341708,330815.6223074687
439.1959798994975,327592.3623986671
443.7185929648241,324779.8517266891
448.2412060301507,321938.8779090053
452.7638190954774,319197.9041996076
457.286432160804,316182.9588616876
461.8090452261306,313522.0396421672
466.3316582914573,311055.5344796169
470.8542713567839,308487.616317944
475.3768844221105,315241.4439371586
479.8994974874372,303968.6981291656
484.4221105527638,301343.078957271
488.9447236180904,299016.6862713601
493.4673366834171,296804.5804505787
497.9899497487437,294566.1798301181
502.5125628140703,292113.3496108694
507.035175879397,290105.0242756393
511.5577889447236,287809.1912917587
516.0804020100502,285761.0291112856
520.6030150753769,283767.3329005041
525.1256281407035,281999.4608005972
529.6482412060302,280127.9619541793
534.1708542713568,277902.9556992599
538.6934673366834,276014.4309289774
543.21608040201,274120.1982497844
547.7386934673367,272246.8818500207
552.2613065326633,270423.3035288234
556.78391959799,268581.9455295358
561.3065326633166,267057.5695282141
565.8291457286432,265205.9621361485
570.3517587939698,263600.8829773163
574.8743718592965,262050.6132954953
579.3969849246231,260355.9690360527
583.9195979899498,258778.7020872985
588.4422110552764,257127.0102659153
592.964824120603,255523.3486712518
597.4874371859296,254059.5196554754
602.0100502512563,252691.3576013008
606.5326633165829,251198.499207472
611.0552763819096,249765.7209886163
615.5778894472362,248422.178306861
620.1005025125628,246976.8153770439
624.6231155778894,245712.4868821059
629.1457286432161,244319.3148145212
633.6683417085427,242850.2364300108
638.1909547738693,241617.0999362989
642.713567839196,240355.0627588193
647.2361809045226,239160.2459092254
651.7587939698492,238022.4334559819
656.2814070351759,236909.8655754432
660.8040201005025,236122.942452515
665.3266331658291,234634.3410208622
669.8492462311558,233279.8711971195
674.3718592964824,231973.4229193519
678.894472361809,230756.6130644477
683.4170854271357,229606.4190091344
687.9396984924623,228582.7567943244
692.4623115577889,227437.8767443727
696.9849246231156,226380.2107330206
701.5075376884422,225378.0298310134
706.0301507537688,224376.9087242685
710.5527638190955,223382.7731499354
715.0753768844221,222382.3430565695
719.5979899497487,221307.1925859899
724.1206030150754,220369.2987532234
728.643216080402,219341.6814788077
733.1658291457286,218420.5438455112
737.6884422110553,217485.0031009674
742.2110552763819,216610.3413725504
746.7336683417085,215586.8285219521
751.2562814070352,214684.7372759556
755.7788944723618,213965.0117465017
760.3015075376884,212976.9126092014
764.8241206030151,212107.0247442977
769.3467336683417,211330.3888808783
773.8693467336683,210518.0285465083
778.391959798995,209682.0326900488
782.9145728643216,208927.7492797134
787.4371859296482,208048.7068851645
791.9597989949749,207329.8884055582
796.4824120603015,206407.0441087007
801.0050251256281,205743.4606813314
805.5276381909548,205004.3089527479
810.0502512562814,204164.4928941182
814.572864321608,203374.0736408672
819.0954773869347,202726.9479760235
823.6180904522613,202017.2817796222
828.1407035175879,201302.3927467724
832.6633165829146,200538.3849354741
837.1859296482412,199929.169677912
841.7085427135678,199258.0743389398
846.2311557788945,198473.0208867214
850.7537688442211,197840.1052286475
855.2763819095477,197236.3229404369
859.7989949748744,196558.6973648424
864.321608040201,195921.8547773626
868.8442211055276,195265.0420996389
873.3668341708543,194678.0772041345
877.8894472361809,194038.4158013393
882.4120603015075,193467.8278051311
886.9346733668342,192882.5802405946
891.4572864321608,192196.2002889971
895.9798994974874,191638.587841188
900.5025125628141,191042.4730792292
905.0251256281407,190488.0045021634
909.5477386934673,189877.4542137641
914.070351758794,189302.5044972966
918.5929648241206,188794.2108758178
923.1155778894472,188243.4700494728
927.6381909547739,187682.8772532446
932.1608040201005,187206.704952501
936.6834170854271,186595.0847725771
941.2060301507538,186135.6276961305
945.7286432160804,185716.4741559954
950.251256281407,185060.5385635764
954.7738693467337,184625.3070841139
959.2964824120603,184088.8296266259
963.8190954773869,183673.2268791389
968.3417085427136,183109.7902436507
972.8643216080402,182666.8199148822
977.3869346733668,182127.6534343493
981.9095477386935,181673.3049968685
986.4321608040201,181297.6307434275
990.9547738693467,180758.3197777048
995.4773869346734,180270.1348933083
1000,179845.6227415621
