#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-10-28 18:58:37.893
#Trace: Trace
#Start: 100 Hz
#Stop: 1000 Hz
#Steps: 200
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 1e+06 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Linear
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (Ohm)
100,14962062.11618259
104.5226130653266,14352417.71372045
109.0452261306533,13753460.78334185
113.5678391959799,13244116.70108065
118.0904522613065,12735039.96324016
122.6130653266332,12262228.71574905
127.1356783919598,11844426.3455614
131.6582914572864,11437898.43728709
136.180904522613,11129950.68382028
140.7035175879397,10635959.723979
145.2261306532663,10470097.99725051
149.7487437185929,10012738.09344979
154.2713567839196,9785268.065247141
158.7939698492462,9448862.418594176
163.3165829145728,9315832.345022773
167.8391959798995,8969921.078148145
172.3618090452261,8727745.011039395
176.8844221105527,8515921.798318151
181.4070351758794,8335832.134277871
185.929648241206,8147369.558973421
190.4522613065326,7952743.129400627
194.9748743718593,7764868.19424248
199.4974874371859,7596078.97186333
204.0201005025125,7423922.220748832
208.5427135678392,7276670.537357625
213.0653266331658,7094128.783168577
217.5879396984924,6996236.210148764
222.1105527638191,6839004.065555548
226.6331658291457,6736187.655534926
231.1557788944723,6537489.026902509
235.678391959799,6482778.290768832
240.2010050251256,6303104.171097797
244.7236180904522,6266738.297752394
249.2462311557789,6151032.955886583
253.7688442211055,5946683.489855695
258.2914572864321,5830416.339966382
262.8140703517588,5819474.369625872
267.3366834170854,5716758.880788597
271.859296482412,5589613.762481798
276.3819095477387,5461163.703977667
280.9045226130653,5431395.811619711
285.4271356783919,5356483.194544975
289.9497487437186,5265740.803890407
294.4723618090452,5168666.221847183
298.9949748743718,5095273.720675792
303.5175879396985,5026765.916254673
308.0402010050251,4947541.240837965
312.5628140703517,4893001.021092878
317.0854271356784,4818399.614836995
321.608040201005,4760452.439484078
326.1306532663316,4670416.500061526
330.6532663316583,4588841.659002449
335.1758793969849,4564402.751276582
339.6984924623115,4496747.081038619
344.2211055276382,4418114.518612499
348.7437185929648,4391173.070476464
353.2663316582914,4298443.813542599
357.7889447236181,4265570.928190414
362.3115577889447,4226825.996785425
366.8341708542713,4174374.082645918
371.356783919598,4093097.199082445
375.8793969849246,4067628.317469452
380.4020100502512,4011329.335618573
384.9246231155779,3974754.139973387
389.4472361809045,3916431.026775592
393.9698492462311,3877663.602536632
398.4924623115578,3824482.620603241
403.0150753768844,3783678.416736987
407.537688442211,3753213.46005276
412.0603015075377,3718196.349875848
416.5829145728643,3663172.042458094
421.1055276381909,3630137.760179554
425.6281407035176,3581965.222551376
430.1507537688442,3545350.100623421
434.6733668341708,3521016.797803037
439.1959798994975,3489932.179150601
443.7185929648241,3435425.829021216
448.2412060301507,3417637.462619399
452.7638190954774,3380688.816885725
457.286432160804,3336152.34005621
461.8090452261306,3317998.179407921
466.3316582914573,3280647.369295073
470.8542713567839,3240643.641120368
475.3768844221105,3204053.082182816
479.8994974874372,3192227.731450649
484.4221105527638,3154952.37868012
488.9447236180904,3126773.764173731
493.4673366834171,3086004.348394803
497.9899497487437,3059910.837102162
502.5125628140703,3047364.809654149
507.035175879397,3019011.362212479
511.5577889447236,2987143.641275501
516.0804020100502,2960213.063905663
520.6030150753769,2939456.937998895
525.1256281407035,2914154.815363215
529.6482412060302,2897604.22752026
534.1708542713568,2863128.647783047
538.6934673366834,2843134.393800147
543.21608040201,2813746.146074414
547.7386934673367,2795072.874420415
552.2613065326633,2776992.70189219
556.78391959799,2751643.349903109
561.3065326633166,2734044.477088148
565.8291457286432,2709364.647890713
570.3517587939698,2686285.684216356
574.8743718592965,2655803.005997568
579.3969849246231,2639811.675934182
583.9195979899498,2623483.819674419
588.4422110552764,2596375.188936998
592.964824120603,2574998.25609196
597.4874371859296,2563541.906866972
602.0100502512563,2547866.978381129
606.5326633165829,2521270.757290714
611.0552763819096,2509231.646982477
615.5778894472362,2486645.0802206
620.1005025125628,2472640.403939856
624.6231155778894,2454556.074877328
629.1457286432161,2435840.39298817
633.6683417085427,2422173.615125138
638.1909547738693,2397846.27584948
642.713567839196,2385701.153772299
647.2361809045226,2368095.959765672
651.7587939698492,2353826.298237704
656.2814070351759,2334218.406946619
660.8040201005025,2322450.219795742
665.3266331658291,2303183.431232804
669.8492462311558,2288540.175561172
674.3718592964824,2267020.346386279
678.894472361809,2265295.323066675
683.4170854271357,2238189.566193532
687.9396984924623,2228515.940950951
692.4623115577889,2215657.083237316
696.9849246231156,2205516.179533797
701.5075376884422,2185435.512388971
706.0301507537688,2173487.467482294
710.5527638190955,2161363.085491975
715.0753768844221,2150103.426443894
719.5979899497487,2135303.012876329
724.1206030150754,2123406.23935677
728.643216080402,2101007.902038179
733.1658291457286,2093703.361978892
737.6884422110553,2078991.47947847
742.2110552763819,2062262.047072667
746.7336683417085,2056675.185846472
