Frequency (Hz),Trace |Z| (Ohm)
1000,181637.9541
1497.487437,151818.475
1994.974874,140088.4144
2492.462312,134372.9434
2989.949749,131352.9615
3487.437186,129598.9361
3984.924623,128550.3443
4482.41206,127927.5571
4979.899497,127536.752
5477.386935,127343.9129
5974.874372,127114.9388
6472.361809,127011.0035
6969.849246,127089.178
7467.336683,127214.293
7964.824121,127096.0898
8462.311558,127319.37
8959.798995,127199.2217
9457.286432,127440.2495
9954.773869,127273.9597
10452.26131,127389.7743
10949.74874,127342.2219
11447.23618,127320.0705
11944.72362,127470.5959
12442.21106,127526.0258
12939.69849,127465.0176
13437.18593,127479.3223
13934.67337,127428.2739
14432.1608,127613.5335
14929.64824,127508.6659
15427.13568,127583.8087
15924.62312,127394.6384
16422.11055,127398.715
16919.59799,127472.7994
17417.08543,127643.1
17914.57286,127478.2988
18412.0603,127451.5108
18909.54774,127517.6541
19407.03518,127487.3125
19904.52261,127333.6507
20402.01005,127557.4897
20899.49749,127425.0567
21396.98492,127431.3796
21894.47236,127428.169
22391.9598,127250.3033
22889.44724,127275.5151
23386.93467,127389.3721
23884.42211,127200.7237
24381.90955,126992.894
24879.39698,127157.0398
25376.88442,126891.26
25874.37186,127225.3932
26371.8593,126935.0866
26869.34673,126998.4817
27366.83417,127023.8705
27864.32161,126914.8893
28361.80905,127034.1823
28859.29648,127171.9232
29356.78392,126731.5221
29854.27136,126851.2058
30351.75879,126818.0693
30849.24623,126589.6556
31346.73367,126555.2671
31844.22111,126402.0712
32341.70854,126497.663
32839.19598,126321.081
33336.68342,126441.1532
33834.17085,126340.2552
34331.65829,126369.0655
34829.14573,126331.2601
35326.63317,126194.4175
35824.1206,126251.4242
36321.60804,126094.5685
36819.09548,125783.2815
37316.58291,126220.303
37814.07035,125735.3767
38311.55779,125922.1285
38809.04523,125809.9101
39306.53266,125776.2065
39804.0201,125974.396
40301.50754,125745.214
40798.99497,125773.0188
41296.48241,125331.1433
41793.96985,125286.6979
42291.45729,125405.9523
42788.94472,125463.9375
43286.43216,125240.7128
43783.9196,125271.6557
44281.40704,125214.4446
44778.89447,124897.846
45276.38191,124735.5544
45773.86935,125088.8555
46271.35678,125133.3066
46768.84422,125022.589
47266.33166,124585.2068
47763.8191,124624.1941
48261.30653,124673.0007
48758.79397,124653.847
49256.28141,124869.9212
49753.76884,123838.4526
50251.25628,124437.6346
50748.74372,124154.669
51246.23116,124671.5105
51743.71859,124483.703
52241.20603,124240.868
52738.69347,123836.536
53236.1809,124294.3713
53733.66834,123929.9973
54231.15578,123986.1229
54728.64322,123761.0959
55226.13065,123579.4617
55723.61809,123514.2515
56221.10553,123484.5133
56718.59296,123073.3732
57216.0804,123282.5293
57713.56784,123638.9093
58211.05528,123314.3352
58708.54271,123341.4719
59206.03015,123375.9029
59703.51759,123260.331
60201.00503,122936.381
60698.49246,122785.4189
61195.9799,122877.0295
61693.46734,122501.3013
62190.95477,122376.5142
62688.44221,122662.9009
63185.92965,122729.4941
63683.41709,122498.7328
64180.90452,122202.3928
64678.39196,122172.0851
65175.8794,122201.2803
65673.36683,121969.87
66170.85427,122193.1876
66668.34171,121881.2845
67165.82915,121813.5694
67663.31658,121535.1955
68160.80402,121808.0388
68658.29146,121145.9213
69155.77889,121685.7601
69653.26633,121151.1204
70150.75377,121151.0001
70648.24121,120975.2976
71145.72864,120514.3442
71643.21608,120774.762
72140.70352,120961.5616
72638.19095,120704.8007
73135.67839,120643.8385
73633.16583,120567.6629
74130.65327,120803.5451
74628.1407,120644.4002
75125.62814,120245.3995
75623.11558,119944.9184
76120.60302,119788.8767
76618.09045,120051.194
77115.57789,119810.7419
77613.06533,119642.7155
78110.55276,119475.1067
78608.0402,119275.5095
79105.52764,119471.9565
79603.01508,119514.2981
80100.50251,118856.3985
80597.98995,119116.1508
81095.47739,118936.0274
81592.96482,118887.9404
82090.45226,118988.4009
82587.9397,118495.638
83085.42714,118975.6916
83582.91457,118449.2624
84080.40201,118457.4255
84577.88945,118359.7793
85075.37688,118662.9672
85572.86432,118587.6305
86070.35176,118059.9521
86567.8392,118243.8846
87065.32663,117954.7382
87562.81407,117515.6425
88060.30151,117733.8774
88557.78894,117619.7611
89055.27638,117293.3197
89552.76382,117358.7092
90050.25126,117316.14
90547.73869,117156.4055
91045.22613,116891.2569
91542.71357,117321.582
92040.20101,116500.9956
92537.68844,116417.0747
93035.17588,116419.767
93532.66332,116365.32
94030.15075,116504.682
94527.63819,116259.0876
95025.12563,115975.7
95522.61307,116112.4044
96020.1005,116428.7128
96517.58794,115600.6948
97015.07538,116177.1978
97512.56281,114891.3996
98010.05025,115206.2282
98507.53769,115796.8349
99005.02513,115245.6364
99502.51256,114087.6458
100000,114474.0804
