Frequency (Hz),Trace |Z| (Ohm)
1000,1649523.032
1331.103679,1265520.204
1662.207358,1021569.07
1993.311037,859856.8067
2324.414716,740668.9487
2655.518395,648773.3271
2986.622074,578821.0347
3317.725753,522614.4592
3648.829431,477033.4911
3979.93311,438475.1709
4311.036789,406728.5551
4642.140468,378654.4349
4973.244147,355100.9035
5304.347826,335102.7244
5635.451505,316469.0972
5966.555184,301096.1392
6297.658863,286408.5933
6628.762542,273856.3681
6959.866221,262770.1238
7290.9699,252677.8279
7622.073579,243452.6115
7953.177258,235143.2958
8284.280936,227477.866
8615.384615,220942.9168
8946.488294,214592.3489
9277.591973,208613.5713
9608.695652,203275.6242
9939.799331,198533.283
10270.90301,193436.0827
10602.00669,189446.4682
10933.11037,185270.208
11264.21405,181881.3127
11595.31773,178257.5426
11926.4214,175128.6727
12257.52508,172065.4908
12588.62876,169268.1776
12919.73244,166818.0826
13250.83612,164276.2754
13581.9398,161905.3277
13913.04348,159641.4461
14244.14716,157679.7089
14575.25084,155579.3655
14906.35452,153955.2679
15237.45819,151937.184
15568.56187,150403.9779
15899.66555,148765.7894
16230.76923,147218.7462
16561.87291,145979.6378
16892.97659,144621.0559
17224.08027,143101.4692
17555.18395,141903.9721
17886.28763,140705.5224
18217.3913,139851.261
18548.49498,138441.4425
18879.59866,137527.9433
19210.70234,136691.5284
19541.80602,135620.2362
19872.9097,135081.356
20204.01338,133895.2373
20535.11706,133128.5852
20866.22074,132497.5712
21197.32441,131593.6122
21528.42809,130720.6963
21859.53177,129867.1552
22190.63545,129472.7125
22521.73913,128769.0851
22852.84281,128235.1841
23183.94649,127543.0453
23515.05017,126909.7332
23846.15385,126434.3232
24177.25753,125923.4752
24508.3612,125422.0801
24839.46488,125055.8429
25170.56856,124343.4765
25501.67224,124122.4707
25832.77592,123686.2118
26163.8796,123170.4249
26494.98328,122847.1666
26826.08696,122408.7638
27157.19064,121981.2401
27488.29431,121889.7903
27819.39799,121411.1191
28150.50167,121120.9687
28481.60535,120805.2479
28812.70903,120530.931
29143.81271,120359.0583
29474.91639,120123.3794
29806.02007,119584.2142
30137.12375,119382.39
30468.22742,119152.0174
30799.3311,118977.5001
31130.43478,118518.8931
31461.53846,118414.5317
31792.64214,118144.881
32123.74582,117946.6132
32454.8495,117718.6761
32785.95318,117334.222
33117.05686,117444.8981
33448.16054,117076.8956
33779.26421,116890.9982
34110.36789,116646.3889
34441.47157,116468.8002
34772.57525,116307.0364
35103.67893,116192.3213
35434.78261,115922.6769
35765.88629,115730.4007
36096.98997,115541.7087
36428.09365,115330.2803
36759.19732,115325.1188
37090.301,114840.8064
37421.40468,114807.8674
37752.50836,114559.2272
38083.61204,114435.6368
38414.71572,114418.1757
38745.8194,114120.2476
39076.92308,114177.0581
39408.02676,113866.9961
39739.13043,113715.1182
40070.23411,113848.3569
40401.33779,113326.356
40732.44147,113505.8723
41063.54515,113144.3153
41394.64883,113141.4129
41725.75251,112888.3948
42056.85619,113069.583
42387.95987,112735.2783
42719.06355,112508.5962
