"Bill of Material for "
"On 11/7/2019 at 4:32:10 PM"

"Comment","Pattern","Quantity","Components"

"100n","0805","2","C30, C32",""
"10K","0805","1","R10",""
"150","0805","2","R31, R91",""
"15k","0805","1","R12",""
"180K","0805","1","R2",""
"1k","0805","2","R27, R89",""
"220k","0805","1","R200",""
"270K","0805","1","R13",""
"27K","0805","1","R6",""
"33","0805","1","R16",""
"330p","CAP100","2","C1, C3",""
"390","0805","4","R23, R29, R51, R90",""
"39K","0805","2","R22, R201",""
"3K3","0805","1","R26",""
"470p","CAP100","2","C2, C4",""
"4K7","0805","1","R101",""
"560k","0805","4","R3, R7, R20, R50",""
"56k","0805","1","R4",""
"68","0805","1","R1",""
"680","0805","1","R100",""
"68K","0805","1","R102",""
"6K8","0805","1","R5",""
"82K","0805","1","R9",""
"8K2","0805","2","R19, R24",""
"BORNERA 2","BORNERA2","2","J2, J3",""
"JUMPER","JUMPER2","1","J4",""
"POWER","BORNERA3","1","J1",""
"TL082ACPE4","TI-P8","1","U1","JFET-Input Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"
