#Digilent WaveForms Impedance Analyzer - Impedance
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-08 16:17:06.045
#Trace: Trace
#Start: 500 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace |Z| (Ohm)
500.0000000000005,91766.3487812864
525.9892532712838,91755.96337204504
553.3293891137646,91769.60871651109
582.0906243860089,91778.19012682579
612.3468257140239,91797.08611550837
644.1756992007203,91799.95296123945
677.6589899961876,91838.00656436467
712.882692241333,91858.87249153209
749.9372699240816,91867.23325751124
788.9178892153453,91883.50107870603
829.9246628814732,91920.53302689153
873.0629074008954,91948.97384430715
918.4434134453043,91971.26539808718
966.1827304200484,92025.88367205534
1016.403465794502,92039.87878740564
1069.234599991189,92089.01794972215
1124.81181764237,92138.53508464342
1183.277856064849,92176.98750556092
1244.78287184799,92211.05909386958
1309.484826496416,92272.82994416828
1377.549892117851,92327.01956962766
1449.152878198011,92405.8930272319
1524.477680558608,92477.32704461573
1603.717753651518,92536.76056868848
1687.076607402124,92624.81953971329
1774.768329877786,92711.53699079891
1867.018137123878,92826.48181673705
1964.062951579463,92907.18282367689
2066.152010558149,93037.29206276462
2173.547506356884,93146.04043073179
2286.525259636632,93255.63057184922
2405.375427804399,93397.18258066353
2530.40325021586,93548.28967703698
2661.929832112537,93686.07413018675
2800.292969306853,93849.55772817692
2945.848015733073,94002.86617376801
3098.968796092259,94175.67669664262
3260.048565935151,94337.44566655124
3429.501021648697,94522.77448965993
3607.7613629402,94697.84446999311
3795.287410547807,94875.3092264717
3992.560782047888,95094.19333500873
4200.08812877916,95239.25888077637
4418.402437060259,95438.71555998793
4648.06439704269,95639.43388122258
4889.663842714645,95840.83553089395
5143.821266754141,96026.45166908129
5411.189414121915,96206.49291846502
5692.454958486919,96391.72658535234
5988.340265789893,96559.39504107887
