#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-08 16:07:13.119
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 201
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.43395 V
#Offset: -2.27108e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,-46.85050301037742,-80.51168866893966
1035.142166679345,-46.48988965779888,-81.24934523824591
1071.519305237607,-46.21546648927033,-81.21447357300505
1109.174815262402,-45.87743470468553,-81.26178383512355
1148.153621496884,-45.59816618384956,-82.12122215598262
1188.50222743702,-45.34620126850836,-81.69682551311924
1230.268770812382,-45.02894957500314,-82.26502708969008
1273.503081016663,-44.73122156751232,-82.23641742639636
1318.256738556409,-44.50430063485764,-82.32523076115064
1364.583136588927,-44.21750692944506,-82.88687616821426
1412.537544622755,-43.85100904181279,-82.86737495096865
1462.17717445672,-43.57825770683161,-83.52275729460442
1513.56124843621,-43.20040232677535,-83.18642944889847
1566.75107010815,-42.93000119683057,-83.70123083359664
1621.810097358931,-42.63081607796144,-83.97982826554647
1678.804018122561,-42.31738142947269,-84.15070043890853
1737.800828749376,-42.09528281909477,-84.35140907225875
1798.870915128789,-41.75831171218726,-84.1196436089611
1862.087136662869,-41.4653892350947,-84.47227076256007
1927.524913190937,-41.13602374373666,-84.73569449089626
1995.262314968881,-40.82782003736242,-85.073128741717
2065.380155810531,-40.57169416023719,-85.07286359147511
2137.962089502235,-40.26778524887973,-85.1606760340693
2213.094709605639,-39.95583656062671,-85.48418280781885
2290.867652767774,-39.6590809290302,-85.5761471799317
2371.373705661657,-39.32649872273129,-85.67667839855216
2454.708915685034,-39.04941727890381,-85.84708477613992
2540.972705549306,-38.75270838764927,-85.88720005279457
2630.267991895385,-38.42214558947383,-85.95343799508157
2722.701308077915,-38.17333374828983,-86.29742549485348
2818.382931264458,-37.82144394927018,-86.26730597495339
2917.427014001169,-37.52969127557169,-86.35826189584081
3019.951720402019,-37.20200848042775,-86.58443616940998
3126.079367123959,-36.90176998252772,-86.70212102428093
3235.936569296288,-36.59742601025596,-86.85650886041344
3349.65439157828,-36.28086887138601,-86.97189592931943
3467.368504525317,-35.98187534671094,-87.08418597802944
3589.219346450057,-35.667463469349,-87.13030634532085
3715.352290971728,-35.35942475663021,-87.30807642932966
3845.917820453539,-35.07157769274136,-87.55574602588884
3981.071705534973,-34.75708448694688,-87.557184203654
4120.975190973304,-34.4403833678298,-87.69543519258353
4265.79518801593,-34.13607630716741,-87.74090637385427
4415.70447353313,-33.81160070088053,-87.92500794585499
4570.881896148752,-33.50839752493905,-88.10675723301702
4731.512589614807,-33.1967221691293,-88.0754612383891
4897.788193684466,-32.87388865885958,-88.26396562931382
5069.90708274705,-32.55316590327224,-88.30966755480591
5248.074602497728,-32.23359688027734,-88.46263413621776
5432.503314924335,-31.91139142963267,-88.55179667488835
5623.413251903497,-31.6054232629113,-88.55569021301076
5821.032177708717,-31.2736260769999,-88.76243787894879
6025.59586074358,-30.9525027588385,-88.77348836924929
6237.348354824198,-30.62872954875494,-88.85543651137209
6456.542290346562,-30.30642409764355,-88.93439915120678
6683.439175686149,-29.98698109782274,-89.17152164841144
6918.30970918937,-29.66266358145406,-89.25849584570663
7161.43410212902,-29.33161882262181,-89.38635522710504
7413.102413009185,-29.0039271970777,-89.49007816442284
7673.614893618193,-28.68258913956879,-89.60547253763232
7943.282347242821,-28.34679939351517,-89.69355983925902
8222.426499470712,-28.0051192008135,-89.86093864719469
8511.380382023775,-27.68160415371906,-89.99705511712527
8810.488730080147,-27.34036949916246,-90.09218660527137
9120.108393559105,-26.99249754730422,-90.30533357129926
9440.608762859236,-26.64926347494453,-90.41180451800446
9772.372209558122,-26.31104792760382,-90.54884054423798
10115.79454259899,-25.94551170293134,-90.6810482144684
10471.28548050901,-25.58915220471807,-90.87730296506925
10839.26914021204,-25.23728182485148,-90.97910060760685
11220.18454301964,-24.86676203200117,-91.15495106548494
11614.48613840343,-24.49906440540099,-91.24431726866423
12022.64434617414,-24.11884086246094,-91.43998563347718
12445.14611771386,-23.74497426858762,-91.5846673930069
12882.49551693135,-23.35513742775903,-91.77982214687582
13335.21432163325,-22.96225424057428,-91.95796845773324
13803.84264602886,-22.55817785388484,-92.13631371933775
14288.93958511104,-22.15110291303542,-92.32496611695763
14791.08388168209,-21.73257082483299,-92.52124474836637
15310.87461682031,-21.30630101570661,-92.76185538571616
15848.93192461115,-20.86718047913069,-92.97581492093391
16405.8977319954,-20.41616701219764,-93.17722280385844
16982.43652461744,-19.94283134515841,-93.47641064050862
17579.23613958694,-19.46689284542157,-93.76738219287044
18197.00858609984,-18.97277060726326,-94.03285482263934
18836.49089489802,-18.45978967484662,-94.39068761736564
19498.44599758046,-17.91903263600776,-94.74411208245955
20183.66363681563,-17.35846614751159,-95.14011344927775
20892.96130854039,-16.77240684822806,-95.55481901529103
21627.18523727022,-16.15032183898655,-96.04110723266744
22387.2113856834,-15.49258867346613,-96.56925774511059
23173.94649968481,-14.79623595427047,-97.22995100388411
23988.32919019491,-14.05007417614588,-97.957288687904
24831.33105295573,-13.24884504581782,-98.76227239819818
25703.95782768865,-12.38011038549796,-99.75791692196037
26607.25059798811,-11.42368160306803,-100.9511383477314
27542.28703338168,-10.36999448601148,-102.4317816476214
28510.18267503911,-9.189556608380361,-104.3732204212639
29512.09226666387,-7.848633856918008,-106.8748389242466
30549.21113215515,-6.298783493097641,-110.3540751319206
31622.77660168381,-4.484559100275803,-115.4269294443514
32734.06948788383,-2.334400630024437,-123.3879527411178
33884.41561392028,0.1278314436967106,-136.9621086461289
35075.18739525681,2.347520773110859,-160.5965984767912
36307.80547701016,2.643772880920594,167.0491187162831
37583.74042884443,0.6765951640226964,140.8405916700515
38904.51449942809,-1.811430571607587,125.4870014159108
40271.70343254593,-4.039233353614247,116.5802896892323
41686.93834703357,-5.92035227617909,111.0166644631656
43151.90768277655,-7.517433467455943,107.2368622640005
44668.35921509634,-8.898673616606217,104.5062717996486
46238.10213992606,-10.12165693417912,102.575837455543
47863.00923226388,-11.18713863330781,101.0129291709246
49545.01908047903,-12.16231378603068,99.69801359239905
51286.13839913649,-13.11128526157317,98.2270590133509
53088.44442309884,-13.85382793201994,97.85217288079457
54954.08738576245,-14.62957954043675,97.06133812065586
56885.29308438416,-15.32549079811048,96.43310480478243
58884.3655355589,-15.98205214318015,95.84598144935921
60953.68972401693,-16.60177392560326,95.28849293552315
63095.73444801933,-17.1987074128381,94.89705051343944
65313.05526474726,-17.73488922555137,94.51851147852301
67608.29753919819,-18.31009924296461,94.16145527206933
69984.19960022738,-18.81588022158087,93.78408807974
72443.59600749903,-19.33029125000529,93.51873074271072
74989.42093324562,-19.80034134276241,93.18293755346586
77624.71166286919,-20.26632270929561,92.94666336476109
80352.61221856177,-20.74839594038333,92.56387722874061
83176.37711026713,-21.12468288648267,92.91029867673342
