Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(-9.30054183409236e+001dB,1.79565373553220e+002°)
1.00230523807790e+003	(-9.29653568860877e+001dB,1.79564370202263e+002°)
1.00461579027840e+003	(-9.29252951473715e+001dB,1.79563364528412e+002°)
1.00693166885180e+003	(-9.28852331234630e+001dB,1.79562356526237e+002°)
1.00925288607668e+003	(-9.28451708130434e+001dB,1.79561346190303e+002°)
1.01157945425990e+003	(-9.28051082147880e+001dB,1.79560333515123e+002°)
1.01391138573668e+003	(-9.27650453273665e+001dB,1.79559318495287e+002°)
1.01624869287070e+003	(-9.27249821494420e+001dB,1.79558301125282e+002°)
1.01859138805412e+003	(-9.26849186796714e+001dB,1.79557281399601e+002°)
1.02093948370768e+003	(-9.26448549167056e+001dB,1.79556259312795e+002°)
1.02329299228075e+003	(-9.26047908591889e+001dB,1.79555234859321e+002°)
1.02565192625141e+003	(-9.25647265057596e+001dB,1.79554208033640e+002°)
1.02801629812647e+003	(-9.25246618550498e+001dB,1.79553178830230e+002°)
1.03038612044162e+003	(-9.24845969056851e+001dB,1.79552147243545e+002°)
1.03276140576140e+003	(-9.24445316562846e+001dB,1.79551113267971e+002°)
1.03514216667934e+003	(-9.24044661054612e+001dB,1.79550076897952e+002°)
1.03752841581801e+003	(-9.23644002518213e+001dB,1.79549038127904e+002°)
1.03992016582906e+003	(-9.23243340939650e+001dB,1.79547996952226e+002°)
1.04231742939330e+003	(-9.22842676304857e+001dB,1.79546953365273e+002°)
1.04472021922080e+003	(-9.22442008599702e+001dB,1.79545907361397e+002°)
1.04712854805090e+003	(-9.22041337809991e+001dB,1.79544858934969e+002°)
1.04954242865232e+003	(-9.21640663921464e+001dB,1.79543808080338e+002°)
1.05196187382322e+003	(-9.21239986919790e+001dB,1.79542754791797e+002°)
1.05438689639126e+003	(-9.20839306790579e+001dB,1.79541699063693e+002°)
1.05681750921366e+003	(-9.20438623519368e+001dB,1.79540640890308e+002°)
1.05925372517729e+003	(-9.20037937091630e+001dB,1.79539580265887e+002°)
1.06169555719872e+003	(-9.19637247492768e+001dB,1.79538517184740e+002°)
1.06414301822431e+003	(-9.19236554708125e+001dB,1.79537451641113e+002°)
1.06659612123026e+003	(-9.18835858722967e+001dB,1.79536383629254e+002°)
1.06905487922266e+003	(-9.18435159522495e+001dB,1.79535313143383e+002°)
1.07151930523761e+003	(-9.18034457091844e+001dB,1.79534240177699e+002°)
1.07398941234124e+003	(-9.17633751416077e+001dB,1.79533164726434e+002°)
1.07646521362983e+003	(-9.17233042480187e+001dB,1.79532086783740e+002°)
1.07894672222983e+003	(-9.16832330269103e+001dB,1.79531006343826e+002°)
1.08143395129794e+003	(-9.16431614767680e+001dB,1.79529923400818e+002°)
1.08392691402120e+003	(-9.16030895960701e+001dB,1.79528837948866e+002°)
1.08642562361706e+003	(-9.15630173832882e+001dB,1.79527749982100e+002°)
1.08893009333343e+003	(-9.15229448368868e+001dB,1.79526659494643e+002°)
1.09144033644875e+003	(-9.14828719553232e+001dB,1.79525566480593e+002°)
1.09395636627209e+003	(-9.14427987370474e+001dB,1.79524470934031e+002°)
1.09647819614318e+003	(-9.14027251805024e+001dB,1.79523372849039e+002°)
1.09900583943252e+003	(-9.13626512841242e+001dB,1.79522272219676e+002°)
1.10153930954141e+003	(-9.13225770463410e+001dB,1.79521169039966e+002°)
1.10407861990207e+003	(-9.12825024655742e+001dB,1.79520063303951e+002°)
1.10662378397766e+003	(-9.12424275402378e+001dB,1.79518955005667e+002°)
1.10917481526240e+003	(-9.12023522687381e+001dB,1.79517844139097e+002°)
1.11173172728159e+003	(-9.11622766494744e+001dB,1.79516730698219e+002°)
1.11429453359173e+003	(-9.11222006808386e+001dB,1.79515614677010e+002°)
1.11686324778056e+003	(-9.10821243612151e+001dB,1.79514496069439e+002°)
1.11943788346715e+003	(-9.10420476889804e+001dB,1.79513374869440e+002°)
1.12201845430196e+003	(-9.10019706625039e+001dB,1.79512251070936e+002°)
1.12460497396692e+003	(-9.09618932801475e+001dB,1.79511124667840e+002°)
1.12719745617551e+003	(-9.09218155402654e+001dB,1.79509995654073e+002°)
1.12979591467279e+003	(-9.08817374412040e+001dB,1.79508864023491e+002°)
1.13240036323555e+003	(-9.08416589813022e+001dB,1.79507729769987e+002°)
1.13501081567231e+003	(-9.08015801588912e+001dB,1.79506592887385e+002°)
1.13762728582343e+003	(-9.07615009722945e+001dB,1.79505453369569e+002°)
1.14024978756117e+003	(-9.07214214198275e+001dB,1.79504311210304e+002°)
1.14287833478977e+003	(-9.06813414997985e+001dB,1.79503166403451e+002°)
1.14551294144553e+003	(-9.06412612105075e+001dB,1.79502018942805e+002°)
1.14815362149688e+003	(-9.06011805502462e+001dB,1.79500868822108e+002°)
1.15080038894443e+003	(-9.05610995172993e+001dB,1.79499716035153e+002°)
1.15345325782109e+003	(-9.05210181099429e+001dB,1.79498560575670e+002°)
1.15611224219210e+003	(-9.04809363264452e+001dB,1.79497402437422e+002°)
1.15877735615512e+003	(-9.04408541650666e+001dB,1.79496241614102e+002°)
1.16144861384034e+003	(-9.04007716240593e+001dB,1.79495078099425e+002°)
1.16412602941049e+003	(-9.03606887016675e+001dB,1.79493911887079e+002°)
1.16680961706096e+003	(-9.03206053961271e+001dB,1.79492742970750e+002°)
1.16949939101987e+003	(-9.02805217056658e+001dB,1.79491571344078e+002°)
1.17219536554813e+003	(-9.02404376285034e+001dB,1.79490397000703e+002°)
1.17489755493953e+003	(-9.02003531628510e+001dB,1.79489219934263e+002°)
1.17760597352080e+003	(-9.01602683069117e+001dB,1.79488040138376e+002°)
1.18032063565173e+003	(-9.01201830588802e+001dB,1.79486857606631e+002°)
1.18304155572516e+003	(-9.00800974169429e+001dB,1.79485672332601e+002°)
1.18576874816716e+003	(-9.00400113792778e+001dB,1.79484484309844e+002°)
1.18850222743701e+003	(-8.99999249440542e+001dB,1.79483293531952e+002°)
1.19124200802737e+003	(-8.99598381094333e+001dB,1.79482099992417e+002°)
1.19398810446427e+003	(-8.99197508735675e+001dB,1.79480903684780e+002°)
