Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(-9.37534261127913e+001dB,1.79518496720667e+002°)
1.00230523807790e+003	(-9.37133664777487e+001dB,1.79517385188158e+002°)
1.00461579027840e+003	(-9.36733065672399e+001dB,1.79516271082530e+002°)
1.00693166885180e+003	(-9.36332463799919e+001dB,1.79515154397738e+002°)
1.00925288607668e+003	(-9.35931859147252e+001dB,1.79514035127824e+002°)
1.01157945425990e+003	(-9.35531251701546e+001dB,1.79512913266724e+002°)
1.01391138573668e+003	(-9.35130641449891e+001dB,1.79511788808398e+002°)
1.01624869287070e+003	(-9.34730028379315e+001dB,1.79510661746769e+002°)
1.01859138805412e+003	(-9.34329412476785e+001dB,1.79509532075749e+002°)
1.02093948370768e+003	(-9.33928793729211e+001dB,1.79508399789275e+002°)
1.02329299228075e+003	(-9.33528172123442e+001dB,1.79507264881221e+002°)
1.02565192625141e+003	(-9.33127547646264e+001dB,1.79506127345463e+002°)
1.02801629812647e+003	(-9.32726920284402e+001dB,1.79504987175851e+002°)
1.03038612044162e+003	(-9.32326290024521e+001dB,1.79503844366275e+002°)
1.03276140576140e+003	(-9.31925656853223e+001dB,1.79502698910532e+002°)
1.03514216667934e+003	(-9.31525020757050e+001dB,1.79501550802474e+002°)
1.03752841581801e+003	(-9.31124381722477e+001dB,1.79500400035859e+002°)
1.03992016582906e+003	(-9.30723739735924e+001dB,1.79499246604511e+002°)
1.04231742939330e+003	(-9.30323094783739e+001dB,1.79498090502193e+002°)
1.04472021922080e+003	(-9.29922446852214e+001dB,1.79496931722648e+002°)
1.04712854805090e+003	(-9.29521795927576e+001dB,1.79495770259649e+002°)
1.04954242865232e+003	(-9.29121141995984e+001dB,1.79494606106917e+002°)
1.05196187382322e+003	(-9.28720485043539e+001dB,1.79493439258149e+002°)
1.05438689639126e+003	(-9.28319825056275e+001dB,1.79492269707067e+002°)
1.05681750921366e+003	(-9.27919162020158e+001dB,1.79491097447355e+002°)
1.05925372517729e+003	(-9.27518495921095e+001dB,1.79489922472671e+002°)
1.06169555719872e+003	(-9.27117826744924e+001dB,1.79488744776655e+002°)
1.06414301822431e+003	(-9.26717154477417e+001dB,1.79487564352964e+002°)
1.06659612123026e+003	(-9.26316479104282e+001dB,1.79486381195207e+002°)
1.06905487922266e+003	(-9.25915800611162e+001dB,1.79485195297017e+002°)
1.07151930523761e+003	(-9.25515118983630e+001dB,1.79484006651972e+002°)
1.07398941234124e+003	(-9.25114434207194e+001dB,1.79482815253646e+002°)
1.07646521362983e+003	(-9.24713746267294e+001dB,1.79481621095601e+002°)
1.07894672222983e+003	(-9.24313055149305e+001dB,1.79480424171387e+002°)
1.08143395129794e+003	(-9.23912360838530e+001dB,1.79479224474519e+002°)
1.08392691402120e+003	(-9.23511663320210e+001dB,1.79478021998547e+002°)
1.08642562361706e+003	(-9.23110962579511e+001dB,1.79476816736935e+002°)
1.08893009333343e+003	(-9.22710258601535e+001dB,1.79475608683184e+002°)
1.09144033644875e+003	(-9.22309551371313e+001dB,1.79474397830744e+002°)
1.09395636627209e+003	(-9.21908840873809e+001dB,1.79473184173106e+002°)
1.09647819614318e+003	(-9.21508127093913e+001dB,1.79471967703692e+002°)
1.09900583943252e+003	(-9.21107410016447e+001dB,1.79470748415872e+002°)
1.10153930954141e+003	(-9.20706689626165e+001dB,1.79469526303123e+002°)
1.10407861990207e+003	(-9.20305965907747e+001dB,1.79468301358787e+002°)
1.10662378397766e+003	(-9.19905238845806e+001dB,1.79467073576284e+002°)
1.10917481526240e+003	(-9.19504508424878e+001dB,1.79465842948896e+002°)
1.11173172728159e+003	(-9.19103774629434e+001dB,1.79464609470046e+002°)
1.11429453359173e+003	(-9.18703037443867e+001dB,1.79463373133015e+002°)
1.11686324778056e+003	(-9.18302296852502e+001dB,1.79462133931110e+002°)
1.11943788346715e+003	(-9.17901552839589e+001dB,1.79460891857636e+002°)
1.12201845430196e+003	(-9.17500805389308e+001dB,1.79459646905883e+002°)
1.12460497396692e+003	(-9.17100054485760e+001dB,1.79458399069079e+002°)
1.12719745617551e+003	(-9.16699300112977e+001dB,1.79457148340480e+002°)
1.12979591467279e+003	(-9.16298542254918e+001dB,1.79455894713331e+002°)
1.13240036323555e+003	(-9.15897780895462e+001dB,1.79454638180826e+002°)
1.13501081567231e+003	(-9.15497016018421e+001dB,1.79453378736179e+002°)
1.13762728582343e+003	(-9.15096247607525e+001dB,1.79452116372545e+002°)
