Freq.	V(n001)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(-4.57207591082258e+001dB,-9.02407666541602e+001°)
1.00230523807790e+003	(-4.57007268795001e+001dB,-9.02413225180075e+001°)
1.00461579027840e+003	(-4.56806945018953e+001dB,-9.02418796690625e+001°)
1.00693166885180e+003	(-4.56606619747233e+001dB,-9.02424381103738e+001°)
1.00925288607668e+003	(-4.56406292972922e+001dB,-9.02429978449001e+001°)
1.01157945425990e+003	(-4.56205964689076e+001dB,-9.02435588757265e+001°)
1.01391138573668e+003	(-4.56005634888714e+001dB,-9.02441212058233e+001°)
1.01624869287070e+003	(-4.55805303564830e+001dB,-9.02446848382714e+001°)
1.01859138805412e+003	(-4.55604970710373e+001dB,-9.02452497760939e+001°)
1.02093948370768e+003	(-4.55404636318271e+001dB,-9.02458160223468e+001°)
1.02329299228075e+003	(-4.55204300381415e+001dB,-9.02463835800799e+001°)
1.02565192625141e+003	(-4.55003962892662e+001dB,-9.02469524523654e+001°)
1.02801629812647e+003	(-4.54803623844836e+001dB,-9.02475226423013e+001°)
1.03038612044162e+003	(-4.54603283230730e+001dB,-9.02480941529455e+001°)
1.03276140576140e+003	(-4.54402941043101e+001dB,-9.02486669873667e+001°)
1.03514216667934e+003	(-4.54202597274675e+001dB,-9.02492411486961e+001°)
1.03752841581801e+003	(-4.54002251918144e+001dB,-9.02498166399999e+001°)
1.03992016582906e+003	(-4.53801904966163e+001dB,-9.02503934644286e+001°)
1.04231742939330e+003	(-4.53601556411355e+001dB,-9.02509716250670e+001°)
1.04472021922080e+003	(-4.53401206246311e+001dB,-9.02515511250689e+001°)
1.04712854805090e+003	(-4.53200854463585e+001dB,-9.02521319675358e+001°)
1.04954242865232e+003	(-4.53000501055696e+001dB,-9.02527141556555e+001°)
1.05196187382322e+003	(-4.52800146015131e+001dB,-9.02532976925300e+001°)
1.05438689639126e+003	(-4.52599789334340e+001dB,-9.02538825813421e+001°)
1.05681750921366e+003	(-4.52399431005739e+001dB,-9.02544688252204e+001°)
1.05925372517729e+003	(-4.52199071021709e+001dB,-9.02550564273818e+001°)
1.06169555719872e+003	(-4.51998709374596e+001dB,-9.02556453909702e+001°)
1.06414301822431e+003	(-4.51798346056707e+001dB,-9.02562357192025e+001°)
1.06659612123026e+003	(-4.51597981060319e+001dB,-9.02568274152310e+001°)
1.06905487922266e+003	(-4.51397614377670e+001dB,-9.02574204822892e+001°)
1.07151930523761e+003	(-4.51197246000963e+001dB,-9.02580149235677e+001°)
1.07398941234124e+003	(-4.50996875922363e+001dB,-9.02586107423279e+001°)
1.07646521362983e+003	(-4.50796504134000e+001dB,-9.02592079417465e+001°)
1.07894672222983e+003	(-4.50596130627970e+001dB,-9.02598065250429e+001°)
1.08143395129794e+003	(-4.50395755396327e+001dB,-9.02604064955229e+001°)
1.08392691402120e+003	(-4.50195378431095e+001dB,-9.02610078563845e+001°)
1.08642562361706e+003	(-4.49994999724253e+001dB,-9.02616106108884e+001°)
1.08893009333343e+003	(-4.49794619267751e+001dB,-9.02622147622993e+001°)
1.09144033644875e+003	(-4.49594237053495e+001dB,-9.02628203139166e+001°)
1.09395636627209e+003	(-4.49393853073359e+001dB,-9.02634272689842e+001°)
1.09647819614318e+003	(-4.49193467319174e+001dB,-9.02640356308062e+001°)
1.09900583943252e+003	(-4.48993079782737e+001dB,-9.02646454026754e+001°)
1.10153930954141e+003	(-4.48792690455805e+001dB,-9.02652565879121e+001°)
1.10407861990207e+003	(-4.48592299330100e+001dB,-9.02658691897887e+001°)
