Freq.	V(n003)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(-4.80326672468746e+001dB,-9.02407149464545e+001°)
1.00230523807790e+003	(-4.80126398420102e+001dB,-9.02412705651397e+001°)
1.00461579027840e+003	(-4.79926123105656e+001dB,-9.02418274695839e+001°)
1.00693166885180e+003	(-4.79725846519558e+001dB,-9.02423856628278e+001°)
1.00925288607668e+003	(-4.79525568655930e+001dB,-9.02429451478462e+001°)
1.01157945425990e+003	(-4.79325289508867e+001dB,-9.02435059276667e+001°)
1.01391138573668e+003	(-4.79125009072437e+001dB,-9.02440680053069e+001°)
1.01624869287070e+003	(-4.78924727340680e+001dB,-9.02446313837986e+001°)
1.01859138805412e+003	(-4.78724444307610e+001dB,-9.02451960661564e+001°)
1.02093948370768e+003	(-4.78524159967210e+001dB,-9.02457620554644e+001°)
1.02329299228075e+003	(-4.78323874313439e+001dB,-9.02463293547322e+001°)
1.02565192625141e+003	(-4.78123587340226e+001dB,-9.02468979670070e+001°)
1.02801629812647e+003	(-4.77923299041471e+001dB,-9.02474678954097e+001°)
1.03038612044162e+003	(-4.77723009411050e+001dB,-9.02480391429429e+001°)
1.03276140576140e+003	(-4.77522718442804e+001dB,-9.02486117127064e+001°)
1.03514216667934e+003	(-4.77322426130551e+001dB,-9.02491856078349e+001°)
1.03752841581801e+003	(-4.77122132468078e+001dB,-9.02497608313503e+001°)
1.03992016582906e+003	(-4.76921837449143e+001dB,-9.02503373863943e+001°)
1.04231742939330e+003	(-4.76721541067478e+001dB,-9.02509152760748e+001°)
1.04472021922080e+003	(-4.76521243316781e+001dB,-9.02514945034712e+001°)
1.04712854805090e+003	(-4.76320944190725e+001dB,-9.02520750717564e+001°)
1.04954242865232e+003	(-4.76120643682953e+001dB,-9.02526569840195e+001°)
1.05196187382322e+003	(-4.75920341787077e+001dB,-9.02532402434112e+001°)
1.05438689639126e+003	(-4.75720038496680e+001dB,-9.02538248530824e+001°)
1.05681750921366e+003	(-4.75519733805316e+001dB,-9.02544108161841e+001°)
1.05925372517729e+003	(-4.75319427706510e+001dB,-9.02549981358606e+001°)
1.06169555719872e+003	(-4.75119120193754e+001dB,-9.02555868153153e+001°)
1.06414301822431e+003	(-4.74918811260512e+001dB,-9.02561768577080e+001°)
1.06659612123026e+003	(-4.74718500900219e+001dB,-9.02567682661847e+001°)
1.06905487922266e+003	(-4.74518189106276e+001dB,-9.02573610439665e+001°)
1.07151930523761e+003	(-4.74317875872056e+001dB,-9.02579551942712e+001°)
1.07398941234124e+003	(-4.74117561190902e+001dB,-9.02585507202601e+001°)
1.07646521362983e+003	(-4.73917245056124e+001dB,-9.02591476251733e+001°)
1.07894672222983e+003	(-4.73716927461001e+001dB,-9.02597459122464e+001°)
1.08143395129794e+003	(-4.73516608398783e+001dB,-9.02603455846689e+001°)
1.08392691402120e+003	(-4.73316287862689e+001dB,-9.02609466457072e+001°)
1.08642562361706e+003	(-4.73115965845902e+001dB,-9.02615490986042e+001°)
1.08893009333343e+003	(-4.72915642341580e+001dB,-9.02621529466024e+001°)
1.09144033644875e+003	(-4.72715317342844e+001dB,-9.02627581929609e+001°)
1.09395636627209e+003	(-4.72514990842784e+001dB,-9.02633648409487e+001°)
1.09647819614318e+003	(-4.72314662834462e+001dB,-9.02639728938330e+001°)
1.09900583943252e+003	(-4.72114333310904e+001dB,-9.02645823549306e+001°)
1.10153930954141e+003	(-4.71914002265103e+001dB,-9.02651932274802e+001°)
1.10407861990207e+003	(-4.71713669690023e+001dB,-9.02658055148438e+001°)
1.10662378397766e+003	(-4.71513335578593e+001dB,-9.02664192202702e+001°)
1.10917481526240e+003	(-4.71312999923712e+001dB,-9.02670343471013e+001°)
1.11173172728159e+003	(-4.71112662718241e+001dB,-9.02676508986569e+001°)
1.11429453359173e+003	(-4.70912323955011e+001dB,-9.02682688782740e+001°)
1.11686324778056e+003	(-4.70711983626823e+001dB,-9.02688882892726e+001°)
1.11943788346715e+003	(-4.70511641726438e+001dB,-9.02695091350510e+001°)
1.12201845430196e+003	(-4.70311298246588e+001dB,-9.02701314188874e+001°)
1.12460497396692e+003	(-4.70110953179972e+001dB,-9.02707551441942e+001°)
1.12719745617551e+003	(-4.69910606519253e+001dB,-9.02713803143247e+001°)
1.12979591467279e+003	(-4.69710258257058e+001dB,-9.02720069326691e+001°)
1.13240036323555e+003	(-4.69509908385983e+001dB,-9.02726350026251e+001°)
1.13501081567231e+003	(-4.69309556898591e+001dB,-9.02732645275645e+001°)
1.13762728582343e+003	(-4.69109203787406e+001dB,-9.02738955109050e+001°)
1.14024978756117e+003	(-4.68908849044923e+001dB,-9.02745279560536e+001°)
1.14287833478977e+003	(-4.68708492663597e+001dB,-9.02751618664180e+001°)
1.14551294144553e+003	(-4.68508134635851e+001dB,-9.02757972454663e+001°)
1.14815362149688e+003	(-4.68307774954072e+001dB,-9.02764340965824e+001°)
1.15080038894443e+003	(-4.68107413610612e+001dB,-9.02770724232435e+001°)
1.15345325782109e+003	(-4.67907050597787e+001dB,-9.02777122289077e+001°)
1.15611224219210e+003	(-4.67706685907878e+001dB,-9.02783535170089e+001°)
1.15877735615512e+003	(-4.67506319533130e+001dB,-9.02789962910658e+001°)
1.16144861384034e+003	(-4.67305951465753e+001dB,-9.02796405544732e+001°)
1.16412602941049e+003	(-4.67105581697920e+001dB,-9.02802863108133e+001°)
1.16680961706096e+003	(-4.66905210221767e+001dB,-9.02809335635106e+001°)
1.16949939101987e+003	(-4.66704837029395e+001dB,-9.02815823161047e+001°)
1.17219536554813e+003	(-4.66504462112867e+001dB,-9.02822325720969e+001°)
1.17489755493953e+003	(-4.66304085464212e+001dB,-9.02828843349985e+001°)
1.17760597352080e+003	(-4.66103707075417e+001dB,-9.02835376083683e+001°)
1.18032063565173e+003	(-4.65903326938437e+001dB,-9.02841923957146e+001°)
1.18304155572516e+003	(-4.65702945045189e+001dB,-9.02848487005707e+001°)
1.18576874816716e+003	(-4.65502561387548e+001dB,-9.02855065265417e+001°)
1.18850222743701e+003	(-4.65302175957358e+001dB,-9.02861658771545e+001°)
1.19124200802737e+003	(-4.65101788746419e+001dB,-9.02868267559643e+001°)
1.19398810446427e+003	(-4.64901399746499e+001dB,-9.02874891665909e+001°)
1.19674053130724e+003	(-4.64701008949321e+001dB,-9.02881531126118e+001°)
1.19949930314937e+003	(-4.64500616346576e+001dB,-9.02888185976202e+001°)
1.20226443461741e+003	(-4.64300221929912e+001dB,-9.02894856252190e+001°)
1.20503594037179e+003	(-4.64099825690942e+001dB,-9.02901541990259e+001°)
1.20781383510678e+003	(-4.63899427621237e+001dB,-9.02908243226668e+001°)
1.21059813355048e+003	(-4.63699027712331e+001dB,-9.02914959997653e+001°)
1.21338885046497e+003	(-4.63498625955718e+001dB,-9.02921692339789e+001°)
1.21618600064636e+003	(-4.63298222342853e+001dB,-9.02928440289349e+001°)
1.21898959892486e+003	(-4.63097816865149e+001dB,-9.02935203883195e+001°)
1.22179966016487e+003	(-4.62897409513983e+001dB,-9.02941983157724e+001°)
1.22461619926504e+003	(-4.62697000280690e+001dB,-9.02948778149955e+001°)
1.22743923115840e+003	(-4.62496589156565e+001dB,-9.02955588896591e+001°)
1.23026877081238e+003	(-4.62296176132862e+001dB,-9.02962415434788e+001°)
1.23310483322890e+003	(-4.62095761200796e+001dB,-9.02969257801118e+001°)
1.23594743344450e+003	(-4.61895344351540e+001dB,-9.02976116033313e+001°)
1.23879658653036e+003	(-4.61694925576228e+001dB,-9.02982990168099e+001°)
1.24165230759241e+003	(-4.61494504865949e+001dB,-9.02989880243093e+001°)
1.24451461177138e+003	(-4.61294082211756e+001dB,-9.02996786295409e+001°)
1.24738351424294e+003	(-4.61093657604656e+001dB,-9.03003708362577e+001°)
1.25025903021771e+003	(-4.60893231035616e+001dB,-9.03010646482683e+001°)
1.25314117494141e+003	(-4.60692802495562e+001dB,-9.03017600692691e+001°)
1.25602996369487e+003	(-4.60492371975376e+001dB,-9.03024571030820e+001°)
1.25892541179416e+003	(-4.60291939465900e+001dB,-9.03031557534612e+001°)
1.26182753459066e+003	(-4.60091504957931e+001dB,-9.03038560242293e+001°)
1.26473634747115e+003	(-4.59891068442227e+001dB,-9.03045579191656e+001°)
1.26765186585784e+003	(-4.59690629909499e+001dB,-9.03052614421061e+001°)
1.27057410520854e+003	(-4.59490189350418e+001dB,-9.03059665968527e+001°)
1.27350308101666e+003	(-4.59289746755610e+001dB,-9.03066733872674e+001°)
1.27643880881134e+003	(-4.59089302115657e+001dB,-9.03073818171520e+001°)
1.27938130415752e+003	(-4.58888855421101e+001dB,-9.03080918903676e+001°)
1.28233058265601e+003	(-4.58688406662436e+001dB,-9.03088036107930e+001°)
1.28528665994361e+003	(-4.58487955830113e+001dB,-9.03095169822708e+001°)
1.28824955169313e+003	(-4.58287502914541e+001dB,-9.03102320086999e+001°)
1.29121927361353e+003	(-4.58087047906082e+001dB,-9.03109486939465e+001°)
1.29419584144998e+003	(-4.57886590795054e+001dB,-9.03116670419270e+001°)
1.29717927098395e+003	(-4.57686131571731e+001dB,-9.03123870565580e+001°)
1.30016957803328e+003	(-4.57485670226339e+001dB,-9.03131087417319e+001°)
1.30316677845229e+003	(-4.57285206749064e+001dB,-9.03138321013887e+001°)
1.30617088813183e+003	(-4.57084741130042e+001dB,-9.03145571394432e+001°)
1.30918192299940e+003	(-4.56884273359364e+001dB,-9.03152838598565e+001°)
1.31219989901920e+003	(-4.56683803427075e+001dB,-9.03160122665969e+001°)
1.31522483219223e+003	(-4.56483331323177e+001dB,-9.03167423635907e+001°)
1.31825673855640e+003	(-4.56282857037621e+001dB,-9.03174741548333e+001°)
1.32129563418657e+003	(-4.56082380560314e+001dB,-9.03182076443198e+001°)
1.32434153519466e+003	(-4.55881901881116e+001dB,-9.03189428360502e+001°)
1.32739445772973e+003	(-4.55681420989840e+001dB,-9.03196797339807e+001°)
1.33045441797808e+003	(-4.55480937876251e+001dB,-9.03204183421617e+001°)
1.33352143216332e+003	(-4.55280452530067e+001dB,-9.03211586646079e+001°)
1.33659551654643e+003	(-4.55079964940959e+001dB,-9.03219007053554e+001°)
1.33967668742593e+003	(-4.54879475098548e+001dB,-9.03226444684322e+001°)
1.34276496113786e+003	(-4.54678982992410e+001dB,-9.03233899579001e+001°)
1.34586035405594e+003	(-4.54478488612069e+001dB,-9.03241371778402e+001°)
1.34896288259165e+003	(-4.54277991947004e+001dB,-9.03248861322907e+001°)
1.35207256319427e+003	(-4.54077492986643e+001dB,-9.03256368253499e+001°)
1.35518941235103e+003	(-4.53876991720366e+001dB,-9.03263892611097e+001°)
1.35831344658715e+003	(-4.53676488137502e+001dB,-9.03271434436643e+001°)
1.36144468246594e+003	(-4.53475982227332e+001dB,-9.03278993771379e+001°)
1.36458313658892e+003	(-4.53275473979088e+001dB,-9.03286570656461e+001°)
1.36772882559584e+003	(-4.53074963381951e+001dB,-9.03294165133285e+001°)
1.37088176616484e+003	(-4.52874450425051e+001dB,-9.03301777242965e+001°)
1.37404197501251e+003	(-4.52673935097470e+001dB,-9.03309407027441e+001°)
1.37720946889394e+003	(-4.52473417388236e+001dB,-9.03317054528174e+001°)
1.38038426460288e+003	(-4.52272897286328e+001dB,-9.03324719786744e+001°)
1.38356637897177e+003	(-4.52072374780675e+001dB,-9.03332402845255e+001°)
1.38675582887188e+003	(-4.51871849860153e+001dB,-9.03340103745453e+001°)
1.38995263121334e+003	(-4.51671322513586e+001dB,-9.03347822529459e+001°)
1.39315680294529e+003	(-4.51470792729749e+001dB,-9.03355559239299e+001°)
1.39636836105593e+003	(-4.51270260497362e+001dB,-9.03363313917311e+001°)
1.39958732257261e+003	(-4.51069725805092e+001dB,-9.03371086605907e+001°)
1.40281370456195e+003	(-4.50869188641556e+001dB,-9.03378877347345e+001°)
1.40604752412990e+003	(-4.50668648995317e+001dB,-9.03386686184353e+001°)
1.40928879842186e+003	(-4.50468106854886e+001dB,-9.03394513159576e+001°)
1.41253754462274e+003	(-4.50267562208719e+001dB,-9.03402358315757e+001°)
1.41579377995707e+003	(-4.50067015045219e+001dB,-9.03410221695545e+001°)
1.41905752168908e+003	(-4.49866465352736e+001dB,-9.03418103342300e+001°)
1.42232878712281e+003	(-4.49665913119565e+001dB,-9.03426003298825e+001°)
1.42560759360218e+003	(-4.49465358333947e+001dB,-9.03433921608394e+001°)
1.42889395851109e+003	(-4.49264800984068e+001dB,-9.03441858314520e+001°)
1.43218789927353e+003	(-4.49064241058060e+001dB,-9.03449813460234e+001°)
