Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(9.91199728072272e+001dB,1.79938878521089e+002°)
1.00230523807790e+003	(9.91199744340778e+001dB,1.79938737337665e+002°)
1.00461579027840e+003	(9.91199760684485e+001dB,1.79938595826810e+002°)
1.00693166885180e+003	(9.91199777103740e+001dB,1.79938453987755e+002°)
1.00925288607668e+003	(9.91199793598893e+001dB,1.79938311819729e+002°)
1.01157945425990e+003	(9.91199810170296e+001dB,1.79938169321961e+002°)
1.01391138573668e+003	(9.91199826818301e+001dB,1.79938026493676e+002°)
1.01624869287070e+003	(9.91199843543263e+001dB,1.79937883334098e+002°)
1.01859138805412e+003	(9.91199860345538e+001dB,1.79937739842450e+002°)
1.02093948370768e+003	(9.91199877225485e+001dB,1.79937596017951e+002°)
1.02329299228075e+003	(9.91199894183463e+001dB,1.79937451859820e+002°)
1.02565192625141e+003	(9.91199911219833e+001dB,1.79937307367273e+002°)
1.02801629812647e+003	(9.91199928334958e+001dB,1.79937162539525e+002°)
1.03038612044162e+003	(9.91199945529203e+001dB,1.79937017375789e+002°)
1.03276140576140e+003	(9.91199962802933e+001dB,1.79936871875275e+002°)
1.03514216667934e+003	(9.91199980156518e+001dB,1.79936726037192e+002°)
1.03752841581801e+003	(9.91199997590326e+001dB,1.79936579860747e+002°)
1.03992016582906e+003	(9.91200015104730e+001dB,1.79936433345144e+002°)
1.04231742939330e+003	(9.91200032700102e+001dB,1.79936286489587e+002°)
1.04472021922080e+003	(9.91200050376817e+001dB,1.79936139293277e+002°)
1.04712854805090e+003	(9.91200068135252e+001dB,1.79935991755413e+002°)
1.04954242865232e+003	(9.91200085975785e+001dB,1.79935843875192e+002°)
1.05196187382322e+003	(9.91200103898797e+001dB,1.79935695651809e+002°)
1.05438689639126e+003	(9.91200121904668e+001dB,1.79935547084457e+002°)
1.05681750921366e+003	(9.91200139993784e+001dB,1.79935398172327e+002°)
1.05925372517729e+003	(9.91200158166530e+001dB,1.79935248914610e+002°)
1.06169555719872e+003	(9.91200176423291e+001dB,1.79935099310492e+002°)
1.06414301822431e+003	(9.91200194764459e+001dB,1.79934949359158e+002°)
1.06659612123026e+003	(9.91200213190424e+001dB,1.79934799059792e+002°)
1.06905487922266e+003	(9.91200231701578e+001dB,1.79934648411574e+002°)
1.07151930523761e+003	(9.91200250298315e+001dB,1.79934497413686e+002°)
1.07398941234124e+003	(9.91200268981032e+001dB,1.79934346065303e+002°)
1.07646521362983e+003	(9.91200287750129e+001dB,1.79934194365600e+002°)
1.07894672222983e+003	(9.91200306606003e+001dB,1.79934042313753e+002°)
1.08143395129794e+003	(9.91200325549057e+001dB,1.79933889908930e+002°)
1.08392691402120e+003	(9.91200344579696e+001dB,1.79933737150302e+002°)
1.08642562361706e+003	(9.91200363698324e+001dB,1.79933584037037e+002°)
1.08893009333343e+003	(9.91200382905349e+001dB,1.79933430568298e+002°)
1.09144033644875e+003	(9.91200402201181e+001dB,1.79933276743249e+002°)
1.09395636627209e+003	(9.91200421586230e+001dB,1.79933122561052e+002°)
1.09647819614318e+003	(9.91200441060911e+001dB,1.79932968020864e+002°)
1.09900583943252e+003	(9.91200460625638e+001dB,1.79932813121844e+002°)
1.10153930954141e+003	(9.91200480280828e+001dB,1.79932657863146e+002°)
1.10407861990207e+003	(9.91200500026901e+001dB,1.79932502243923e+002°)
1.10662378397766e+003	(9.91200519864276e+001dB,1.79932346263325e+002°)
1.10917481526240e+003	(9.91200539793378e+001dB,1.79932189920502e+002°)
1.11173172728159e+003	(9.91200559814631e+001dB,1.79932033214599e+002°)
1.11429453359173e+003	(9.91200579928462e+001dB,1.79931876144761e+002°)
1.11686324778056e+003	(9.91200600135299e+001dB,1.79931718710131e+002°)
1.11943788346715e+003	(9.91200620435574e+001dB,1.79931560909848e+002°)
1.12201845430196e+003	(9.91200640829720e+001dB,1.79931402743051e+002°)
1.12460497396692e+003	(9.91200661318170e+001dB,1.79931244208876e+002°)
1.12719745617551e+003	(9.91200681901363e+001dB,1.79931085306457e+002°)
1.12979591467279e+003	(9.91200702579737e+001dB,1.79930926034926e+002°)
1.13240036323555e+003	(9.91200723353733e+001dB,1.79930766393411e+002°)
1.13501081567231e+003	(9.91200744223794e+001dB,1.79930606381041e+002°)
1.13762728582343e+003	(9.91200765190365e+001dB,1.79930445996941e+002°)
1.14024978756117e+003	(9.91200786253893e+001dB,1.79930285240234e+002°)
1.14287833478977e+003	(9.91200807414827e+001dB,1.79930124110041e+002°)
1.14551294144553e+003	(9.91200828673619e+001dB,1.79929962605481e+002°)
1.14815362149688e+003	(9.91200850030722e+001dB,1.79929800725671e+002°)
1.15080038894443e+003	(9.91200871486591e+001dB,1.79929638469724e+002°)
1.15345325782109e+003	(9.91200893041685e+001dB,1.79929475836754e+002°)
1.15611224219210e+003	(9.91200914696462e+001dB,1.79929312825871e+002°)
1.15877735615512e+003	(9.91200936451385e+001dB,1.79929149436182e+002°)
1.16144861384034e+003	(9.91200958306918e+001dB,1.79928985666793e+002°)
1.16412602941049e+003	(9.91200980263527e+001dB,1.79928821516808e+002°)
1.16680961706096e+003	(9.91201002321680e+001dB,1.79928656985328e+002°)
1.16949939101987e+003	(9.91201024481848e+001dB,1.79928492071452e+002°)
1.17219536554813e+003	(9.91201046744504e+001dB,1.79928326774277e+002°)
1.17489755493953e+003	(9.91201069110122e+001dB,1.79928161092897e+002°)
1.17760597352080e+003	(9.91201091579179e+001dB,1.79927995026406e+002°)
1.18032063565173e+003	(9.91201114152156e+001dB,1.79927828573892e+002°)
1.18304155572516e+003	(9.91201136829533e+001dB,1.79927661734445e+002°)
1.18576874816716e+003	(9.91201159611795e+001dB,1.79927494507149e+002°)
1.18850222743701e+003	(9.91201182499427e+001dB,1.79927326891087e+002°)
1.19124200802737e+003	(9.91201205492918e+001dB,1.79927158885342e+002°)
1.19398810446427e+003	(9.91201228592758e+001dB,1.79926990488992e+002°)
1.19674053130724e+003	(9.91201251799440e+001dB,1.79926821701113e+002°)
1.19949930314937e+003	(9.91201275113460e+001dB,1.79926652520780e+002°)
1.20226443461741e+003	(9.91201298535315e+001dB,1.79926482947065e+002°)
1.20503594037179e+003	(9.91201322065505e+001dB,1.79926312979036e+002°)
1.20781383510678e+003	(9.91201345704532e+001dB,1.79926142615762e+002°)
1.21059813355048e+003	(9.91201369452900e+001dB,1.79925971856308e+002°)
1.21338885046497e+003	(9.91201393311116e+001dB,1.79925800699736e+002°)
1.21618600064636e+003	(9.91201417279689e+001dB,1.79925629145107e+002°)
1.21898959892486e+003	(9.91201441359132e+001dB,1.79925457191479e+002°)
1.22179966016487e+003	(9.91201465549957e+001dB,1.79925284837907e+002°)
1.22461619926504e+003	(9.91201489852681e+001dB,1.79925112083445e+002°)
1.22743923115840e+003	(9.91201514267823e+001dB,1.79924938927143e+002°)
1.23026877081238e+003	(9.91201538795904e+001dB,1.79924765368051e+002°)
1.23310483322890e+003	(9.91201563437448e+001dB,1.79924591405215e+002°)
1.23594743344450e+003	(9.91201588192980e+001dB,1.79924417037678e+002°)
