Freq.	V(n001)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e+003	(-4.52520501790104e+001dB,-9.02188037422657e+001°)
1.00230523807790e+003	(-4.52320162969283e+001dB,-9.02193089327418e+001°)
1.00461579027840e+003	(-4.52119822583226e+001dB,-9.02198152933199e+001°)
1.00693166885180e+003	(-4.51919480624696e+001dB,-9.02203228267611e+001°)
1.00925288607668e+003	(-4.51719137086421e+001dB,-9.02208315357590e+001°)
1.01157945425990e+003	(-4.51518791961098e+001dB,-9.02213414230995e+001°)
1.01391138573668e+003	(-4.51318445241389e+001dB,-9.02218524915410e+001°)
1.01624869287070e+003	(-4.51118096919922e+001dB,-9.02223647438238e+001°)
1.01859138805412e+003	(-4.50917746989291e+001dB,-9.02228781827236e+001°)
1.02093948370768e+003	(-4.50717395442055e+001dB,-9.02233928110201e+001°)
1.02329299228075e+003	(-4.50517042270739e+001dB,-9.02239086315002e+001°)
1.02565192625141e+003	(-4.50316687467834e+001dB,-9.02244256469264e+001°)
1.02801629812647e+003	(-4.50116331025797e+001dB,-9.02249438601400e+001°)
1.03038612044162e+003	(-4.49915972937047e+001dB,-9.02254632739118e+001°)
1.03276140576140e+003	(-4.49715613193970e+001dB,-9.02259838910414e+001°)
1.03514216667934e+003	(-4.49515251788918e+001dB,-9.02265057143691e+001°)
1.03752841581801e+003	(-4.49314888714202e+001dB,-9.02270287467132e+001°)
1.03992016582906e+003	(-4.49114523962105e+001dB,-9.02275529908922e+001°)
1.04231742939330e+003	(-4.48914157524872e+001dB,-9.02280784497462e+001°)
1.04472021922080e+003	(-4.48713789394706e+001dB,-9.02286051261190e+001°)
1.04712854805090e+003	(-4.48513419563781e+001dB,-9.02291330228659e+001°)
1.04954242865232e+003	(-4.48313048024233e+001dB,-9.02296621428232e+001°)
1.05196187382322e+003	(-4.48112674768159e+001dB,-9.02301924888995e+001°)
1.05438689639126e+003	(-4.47912299787623e+001dB,-9.02307240639216e+001°)
1.05681750921366e+003	(-4.47711923074649e+001dB,-9.02312568707791e+001°)
1.05925372517729e+003	(-4.47511544621229e+001dB,-9.02317909123623e+001°)
1.06169555719872e+003	(-4.47311164419309e+001dB,-9.02323261915575e+001°)
1.06414301822431e+003	(-4.47110782460809e+001dB,-9.02328627112510e+001°)
1.06659612123026e+003	(-4.46910398737602e+001dB,-9.02334004743760e+001°)
1.06905487922266e+003	(-4.46710013241526e+001dB,-9.02339394838345e+001°)
1.07151930523761e+003	(-4.46509625964386e+001dB,-9.02344797425144e+001°)
1.07398941234124e+003	(-4.46309236897943e+001dB,-9.02350212534002e+001°)
