Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*),db/2,ph-180,ph + 180,fase linda,amppppp,result,FREC NUEVA
1000,-0.005038143852,179.5137005,-0.002519071926,-0.4862994648,359.5137005,-0.4862994648,-0.007557215778,-0.005038143852,510
1006.931669,-0.004214590385,179.5126875,-0.002107295193,-0.4873124614,359.5126875,-0.4873124614,-0.006321885578,-0.004214590385,516.931669
1013.911386,-0.004507669924,179.505056,-0.002253834962,-0.4949439992,359.505056,-0.4949439992,-0.006761504886,-0.004507669924,523.911386
1020.939484,-0.004842482479,179.5050952,-0.00242124124,-0.4949047623,359.5050952,-0.4949047623,-0.007263723719,-0.004842482479,530.939484
1028.016298,-0.004945766474,179.5025696,-0.002472883237,-0.4974304478,359.5025696,-0.4974304478,-0.007418649711,-0.004945766474,538.016298
1035.142167,-0.004897458449,179.4985589,-0.002448729225,-0.5014410858,359.4985589,-0.5014410858,-0.007346187674,-0.004897458449,545.142167
1042.317429,-0.004895390125,179.4954825,-0.002447695063,-0.5045175091,359.4954825,-0.5045175091,-0.007343085188,-0.004895390125,552.317429
1049.542429,-0.005278654972,179.4887296,-0.002639327486,-0.5112704303,359.4887296,-0.5112704303,-0.007917982458,-0.005278654972,559.542429
1056.817509,-0.004629027465,179.4813374,-0.002314513733,-0.5186626262,359.4813374,-0.5186626262,-0.006943541198,-0.004629027465,566.817509
1064.143018,-0.004927393908,179.4856661,-0.002463696954,-0.5143339382,359.4856661,-0.5143339382,-0.007391090862,-0.004927393908,574.143018
1071.519305,-0.004639611798,179.4773204,-0.002319805899,-0.522679629,359.4773204,-0.522679629,-0.006959417697,-0.004639611798,581.519305
1078.946722,-0.004667583774,179.4759493,-0.002333791887,-0.5240507385,359.4759493,-0.5240507385,-0.007001375661,-0.004667583774,588.946722
1086.425624,-0.004873021722,179.4691645,-0.002436510861,-0.5308354871,359.4691645,-0.5308354871,-0.007309532583,-0.004873021722,596.425624
1093.956366,-0.00500218548,179.4661028,-0.00250109274,-0.5338972499,359.4661028,-0.5338972499,-0.00750327822,-0.00500218548,603.956366
1101.53931,-0.004927970383,179.4663434,-0.002463985191,-0.5336566394,359.4663434,-0.5336566394,-0.007391955575,-0.004927970383,611.53931
1109.174815,-0.004998488918,179.4598306,-0.002499244459,-0.540169377,359.4598306,-0.540169377,-0.007497733377,-0.004998488918,619.174815
1116.863248,-0.004584730928,179.4536156,-0.002292365464,-0.5463843803,359.4536156,-0.5463843803,-0.006877096392,-0.004584730928,626.863248
1124.604974,-0.005174661689,179.4509566,-0.002587330845,-0.5490434069,359.4509566,-0.5490434069,-0.007761992534,-0.005174661689,634.604974
1132.400363,-0.004759839879,179.4499439,-0.002379919939,-0.5500560797,359.4499439,-0.5500560797,-0.007139759819,-0.004759839879,642.400363
1140.249788,-0.004733916889,179.4446869,-0.002366958444,-0.5553130558,359.4446869,-0.5553130558,-0.007100875334,-0.004733916889,650.249788
1148.153621,-0.005207136252,179.442822,-0.002603568126,-0.5571779745,359.442822,-0.5571779745,-0.007810704378,-0.005207136252,658.153621
1156.112242,-0.004937553025,179.4403639,-0.002468776513,-0.5596361206,359.4403639,-0.5596361206,-0.007406329538,-0.004937553025,666.112242
1164.126029,-0.004843504559,179.4343362,-0.002421752279,-0.5656638176,359.4343362,-0.5656638176,-0.007265256839,-0.004843504559,674.126029
1172.195366,-0.005103419397,179.4339475,-0.002551709698,-0.5660525437,359.4339475,-0.5660525437,-0.007655129096,-0.005103419397,682.195366
1180.320636,-0.005002734083,179.426445,-0.002501367042,-0.5735550304,359.426445,-0.5735550304,-0.007504101125,-0.005002734083,690.320636
1188.502227,-0.004734306566,179.4238625,-0.002367153283,-0.5761374845,359.4238625,-0.5761374845,-0.007101459849,-0.004734306566,698.502227
1196.740531,-0.004799440799,179.4195834,-0.002399720399,-0.5804165588,359.4195834,-0.5804165588,-0.007199161199,-0.004799440799,706.740531
1205.03594,-0.004821540424,179.4152861,-0.002410770212,-0.5847138541,359.4152861,-0.5847138541,-0.007232310636,-0.004821540424,715.03594
1213.38885,-0.004727407092,179.4130741,-0.002363703546,-0.5869258633,359.4130741,-0.5869258633,-0.007091110638,-0.004727407092,723.38885
1221.79966,-0.005248267597,179.4067783,-0.002624133798,-0.5932216663,359.4067783,-0.5932216663,-0.007872401396,-0.005248267597,731.79966
1230.268771,-0.005530657262,179.4026895,-0.002765328631,-0.597310505,359.4026895,-0.597310505,-0.008295985893,-0.005530657262,740.268771
1238.796587,-0.00464319246,179.4029549,-0.00232159623,-0.5970450728,359.4029549,-0.5970450728,-0.00696478869,-0.00464319246,748.796587
1247.383514,-0.004820875304,179.3932507,-0.002410437652,-0.6067493106,359.3932507,-0.6067493106,-0.007231312956,-0.004820875304,757.383514
1256.029964,-0.004966411333,179.3882309,-0.002483205667,-0.6117691244,359.3882309,-0.6117691244,-0.007449617,-0.004966411333,766.029964
1264.736347,-0.005309157468,179.3863312,-0.002654578734,-0.6136688112,359.3863312,-0.6136688112,-0.007963736202,-0.005309157468,774.736347
1273.503081,-0.005187090727,179.3795299,-0.002593545364,-0.6204700568,359.3795299,-0.6204700568,-0.007780636091,-0.005187090727,783.503081
1282.330583,-0.005488187183,179.3759503,-0.002744093591,-0.6240497285,359.3759503,-0.6240497285,-0.008232280775,-0.005488187183,792.330583
1291.219274,-0.0047498796,179.3732425,-0.0023749398,-0.6267574833,359.3732425,-0.6267574833,-0.0071248194,-0.0047498796,801.219274
1300.169578,-0.004629679774,179.3676331,-0.002314839887,-0.6323669139,359.3676331,-0.6323669139,-0.006944519661,-0.004629679774,810.169578
1309.181923,-0.005061658429,179.3633286,-0.002530829215,-0.6366713767,359.3633286,-0.6366713767,-0.007592487644,-0.005061658429,819.181923
1318.256739,-0.004967338392,179.3558801,-0.002483669196,-0.6441199187,359.3558801,-0.6441199187,-0.007451007588,-0.004967338392,828.256739
1327.394458,-0.004589921936,179.3537389,-0.002294960968,-0.6462611365,359.3537389,-0.6462611365,-0.006884882904,-0.004589921936,837.394458
1336.595517,-0.005391301998,179.3495854,-0.002695650999,-0.6504146065,359.3495854,-0.6504146065,-0.008086952997,-0.005391301998,846.595517
1345.860354,-0.005086116834,179.3455236,-0.002543058417,-0.6544764268,359.3455236,-0.6544764268,-0.007629175251,-0.005086116834,855.860354
1355.189412,-0.005283026569,179.3367847,-0.002641513284,-0.6632153193,359.3367847,-0.6632153193,-0.007924539854,-0.005283026569,865.189412
1364.583137,-0.004869074636,179.339098,-0.002434537318,-0.6609020421,359.339098,-0.6609020421,-0.007303611954,-0.004869074636,874.583137
1374.041975,-0.004088218961,179.3328265,-0.00204410948,-0.6671735341,359.3328265,-0.6671735341,-0.006132328442,-0.004088218961,884.041975
1383.566379,-0.004515424278,179.3277966,-0.002257712139,-0.6722033891,359.3277966,-0.6722033891,-0.006773136417,-0.004515424278,893.566379
1393.156803,-0.00541301255,179.3240853,-0.002706506275,-0.6759147269,359.3240853,-0.6759147269,-0.008119518825,-0.00541301255,903.156803
1402.813705,-0.004821074844,179.3207576,-0.002410537422,-0.679242399,359.3207576,-0.679242399,-0.007231612266,-0.004821074844,912.813705
1412.537545,-0.004706639234,179.3134557,-0.002353319617,-0.6865443059,359.3134557,-0.6865443059,-0.007059958851,-0.004706639234,922.537545
1422.328787,-0.004608960208,179.3088504,-0.002304480104,-0.6911496043,359.3088504,-0.6911496043,-0.006913440312,-0.004608960208,932.328787
1432.187899,-0.004434477697,179.3012961,-0.002217238849,-0.6987038986,359.3012961,-0.6987038986,-0.006651716546,-0.004434477697,942.187899
1442.115352,-0.004707535785,179.3026905,-0.002353767893,-0.6973095454,359.3026905,-0.6973095454,-0.007061303678,-0.004707535785,952.115352
1452.111618,-0.005017268279,179.2965583,-0.00250863414,-0.7034416909,359.2965583,-0.7034416909,-0.007525902419,-0.005017268279,962.111618
1462.177174,-0.00511789787,179.2906388,-0.002558948935,-0.7093611805,359.2906388,-0.7093611805,-0.007676846805,-0.00511789787,972.177174
1472.312502,-0.004713823662,179.2809211,-0.002356911831,-0.7190788757,359.2809211,-0.7190788757,-0.007070735493,-0.004713823662,982.312502
1482.518085,-0.005141934654,179.2788898,-0.002570967327,-0.7211101878,359.2788898,-0.7211101878,-0.007712901981,-0.005141934654,992.518085
1492.79441,-0.004759657175,179.275894,-0.002379828587,-0.7241059664,359.275894,-0.7241059664,-0.007139485763,-0.004759657175,1002.79441
1503.141966,-0.004424369769,179.2732618,-0.002212184884,-0.7267381512,359.2732618,-0.7267381512,-0.006636554654,-0.004424369769,1013.141966
1513.561248,-0.005203417765,179.2648536,-0.002601708882,-0.7351464422,359.2648536,-0.7351464422,-0.007805126648,-0.005203417765,1023.561248
1524.052754,-0.004997466039,179.2614201,-0.002498733019,-0.7385799424,359.2614201,-0.7385799424,-0.007496199059,-0.004997466039,1034.052754
1534.616983,-0.005212762656,179.2540942,-0.002606381328,-0.745905771,359.2540942,-0.745905771,-0.007819143984,-0.005212762656,1044.616983
1545.25444,-0.004550778354,179.2502355,-0.002275389177,-0.7497645464,359.2502355,-0.7497645464,-0.006826167531,-0.004550778354,1055.25444
1555.965632,-0.004119530294,179.2408306,-0.002059765147,-0.7591694163,359.2408306,-0.7591694163,-0.006179295441,-0.004119530294,1065.965632
1566.75107,-0.00444012344,179.2423613,-0.00222006172,-0.7576387044,359.2423613,-0.7576387044,-0.00666018516,-0.00444012344,1076.75107
1577.61127,-0.004573871468,179.2346125,-0.002286935734,-0.7653875205,359.2346125,-0.7653875205,-0.006860807202,-0.004573871468,1087.61127
1588.546749,-0.00538406709,179.2283679,-0.002692033545,-0.7716321047,359.2283679,-0.7716321047,-0.008076100635,-0.00538406709,1098.546749
1599.558029,-0.004197203255,179.2221147,-0.002098601627,-0.7778852543,359.2221147,-0.7778852543,-0.006295804883,-0.004197203255,1109.558029
1610.645635,-0.004841405691,179.2199491,-0.002420702846,-0.7800508686,359.2199491,-0.7800508686,-0.007262108537,-0.004841405691,1120.645635
1621.810097,-0.005550613956,179.2115165,-0.002775306978,-0.7884834563,359.2115165,-0.7884834563,-0.008325920934,-0.005550613956,1131.810097
1633.051948,-0.005114223754,179.2075864,-0.002557111877,-0.7924135527,359.2075864,-0.7924135527,-0.007671335631,-0.005114223754,1143.051948
1644.371723,-0.004861253822,179.2043831,-0.002430626911,-0.7956169477,359.2043831,-0.7956169477,-0.007291880733,-0.004861253822,1154.371723
1655.769963,-0.004911431701,179.1977378,-0.002455715851,-0.8022621613,359.1977378,-0.8022621613,-0.007367147552,-0.004911431701,1165.769963
1667.247213,-0.005453395905,179.1931109,-0.002726697953,-0.8068891378,359.1931109,-0.8068891378,-0.008180093858,-0.005453395905,1177.247213
1678.804018,-0.005011678757,179.1900031,-0.002505839378,-0.8099969429,359.1900031,-0.8099969429,-0.007517518136,-0.005011678757,1188.804018
1690.440932,-0.004585798565,179.1825186,-0.002292899283,-0.8174814156,359.1825186,-0.8174814156,-0.006878697848,-0.004585798565,1200.440932
1702.158508,-0.004603051856,179.17735,-0.002301525928,-0.8226499626,359.17735,-0.8226499626,-0.006904577784,-0.004603051856,1212.158508
1713.957308,-0.004848494862,179.1645749,-0.002424247431,-0.8354251236,359.1645749,-0.8354251236,-0.007272742293,-0.004848494862,1223.957308
1725.837892,-0.004827958005,179.1681091,-0.002413979003,-0.8318909078,359.1681091,-0.8318909078,-0.007241937008,-0.004827958005,1235.837892
1737.800829,-0.005002710438,179.1596874,-0.002501355219,-0.8403125897,359.1596874,-0.8403125897,-0.007504065657,-0.005002710438,1247.800829
1749.846689,-0.004878722922,179.1520439,-0.002439361461,-0.8479561469,359.1520439,-0.8479561469,-0.007318084383,-0.004878722922,1259.846689
1761.976046,-0.004143229006,179.1440183,-0.002071614503,-0.8559817219,359.1440183,-0.8559817219,-0.006214843509,-0.004143229006,1271.976046
1774.189481,-0.005494206027,179.1388409,-0.002747103013,-0.861159148,359.1388409,-0.861159148,-0.008241309041,-0.005494206027,1284.189481
1786.487575,-0.004727512894,179.1325313,-0.002363756447,-0.8674686583,359.1325313,-0.8674686583,-0.007091269341,-0.004727512894,1296.487575
1798.870915,-0.005238265505,179.1248862,-0.002619132752,-0.8751137864,359.1248862,-0.8751137864,-0.007857398258,-0.005238265505,1308.870915
1811.340093,-0.005206033305,179.1239258,-0.002603016652,-0.8760741708,359.1239258,-0.8760741708,-0.007809049958,-0.005206033305,1321.340093
1823.895702,-0.00533722325,179.1150463,-0.002668611625,-0.8849537314,359.1150463,-0.8849537314,-0.008005834875,-0.00533722325,1333.895702
1836.538343,-0.00473906052,179.110115,-0.00236953026,-0.8898849671,359.110115,-0.8898849671,-0.00710859078,-0.00473906052,1346.538343
1849.268619,-0.004469731454,179.1048098,-0.002234865727,-0.8951902237,359.1048098,-0.8951902237,-0.006704597181,-0.004469731454,1359.268619
1862.087137,-0.004608016032,179.094124,-0.002304008016,-0.9058760297,359.094124,-0.9058760297,-0.006912024048,-0.004608016032,1372.087137
1874.994508,-0.004607729717,179.0916908,-0.002303864859,-0.908309151,359.0916908,-0.908309151,-0.006911594576,-0.004607729717,1384.994508
1887.991349,-0.004997549548,179.0862792,-0.002498774774,-0.9137207853,359.0862792,-0.9137207853,-0.007496324322,-0.004997549548,1397.991349
1901.07828,-0.004497095575,179.0773515,-0.002248547788,-0.922648541,359.0773515,-0.922648541,-0.006745643363,-0.004497095575,1411.07828
1914.255925,-0.00437874993,179.0730142,-0.002189374965,-0.9269858315,359.0730142,-0.9269858315,-0.006568124895,-0.00437874993,1424.255925
1927.524913,-0.00470875817,179.0654973,-0.002354379085,-0.9345027028,359.0654973,-0.9345027028,-0.007063137255,-0.00470875817,1437.524913
1940.885878,-0.004750822552,179.0604913,-0.002375411276,-0.9395086906,359.0604913,-0.9395086906,-0.007126233828,-0.004750822552,1450.885878
1954.339456,-0.004253108867,179.0520202,-0.002126554434,-0.9479797917,359.0520202,-0.9479797917,-0.006379663301,-0.004253108867,1464.339456
1967.88629,-0.005557860395,179.0489675,-0.002778930197,-0.9510324668,359.0489675,-0.9510324668,-0.008336790593,-0.005557860395,1477.88629
1981.527026,-0.004908343312,179.0398906,-0.002454171656,-0.960109399,359.0398906,-0.960109399,-0.007362514968,-0.004908343312,1491.527026
1995.262315,-0.005098382612,179.0329398,-0.002549191306,-0.9670601682,359.0329398,-0.9670601682,-0.007647573918,-0.005098382612,1505.262315
2009.092813,-0.004767395141,179.0267395,-0.002383697571,-0.9732605458,359.0267395,-0.9732605458,-0.007151092712,-0.004767395141,1519.092813
2023.019179,-0.004676374101,179.0157199,-0.002338187051,-0.9842800567,359.0157199,-0.9842800567,-0.007014561152,-0.004676374101,1533.019179
2037.042078,-0.004950653163,179.0138786,-0.002475326582,-0.9861213803,359.0138786,-0.9861213803,-0.007425979745,-0.004950653163,1547.042078
2051.162179,-0.004672062638,179.0053,-0.002336031319,-0.9947000409,359.0053,-0.9947000409,-0.007008093957,-0.004672062638,1561.162179
2065.380156,-0.005138299994,178.9991002,-0.002569149997,-1.000899833,358.9991002,-1.000899833,-0.007707449991,-0.005138299994,1575.380156
2079.696687,-0.005553885424,178.9913676,-0.002776942712,-1.008632433,358.9913676,-1.008632433,-0.008330828136,-0.005553885424,1589.696687
2094.112456,-0.004665395079,178.9835044,-0.00233269754,-1.016495639,358.9835044,-1.016495639,-0.006998092619,-0.004665395079,1604.112456
2108.62815,-0.004736755545,178.9771271,-0.002368377773,-1.022872869,358.9771271,-1.022872869,-0.007105133318,-0.004736755545,1618.62815
2123.244462,-0.00492265431,178.977025,-0.002461327155,-1.022975029,358.977025,-1.022975029,-0.007383981465,-0.00492265431,1633.244462
2137.96209,-0.004828172905,178.9659274,-0.002414086452,-1.034072564,358.9659274,-1.034072564,-0.007242259358,-0.004828172905,1647.96209
2152.781735,-0.005030174945,178.9539218,-0.002515087473,-1.046078233,358.9539218,-1.046078233,-0.007545262418,-0.005030174945,1662.781735
2167.704105,-0.00460902296,178.9546472,-0.00230451148,-1.045352774,358.9546472,-1.045352774,-0.00691353444,-0.00460902296,1677.704105
2182.729912,-0.004439645167,178.9420903,-0.002219822584,-1.05790971,358.9420903,-1.05790971,-0.006659467751,-0.004439645167,1692.729912
2197.859873,-0.004517881626,178.9368826,-0.002258940813,-1.063117361,358.9368826,-1.063117361,-0.006776822439,-0.004517881626,1707.859873
2213.09471,-0.005049159074,178.9314115,-0.002524579537,-1.068588508,358.9314115,-1.068588508,-0.007573738611,-0.005049159074,1723.09471
2228.435149,-0.005302057203,178.9189614,-0.002651028601,-1.081038616,358.9189614,-1.081038616,-0.007953085805,-0.005302057203,1738.435149
2243.881924,-0.004580273127,178.9140045,-0.002290136563,-1.085995549,358.9140045,-1.085995549,-0.006870409691,-0.004580273127,1753.881924
2259.43577,-0.005426433439,178.9073547,-0.00271321672,-1.092645316,358.9073547,-1.092645316,-0.008139650159,-0.005426433439,1769.43577
2275.097431,-0.005060390692,178.8965631,-0.002530195346,-1.103436852,358.8965631,-1.103436852,-0.007590586038,-0.005060390692,1785.097431
2290.867653,-0.005132218634,178.8929007,-0.002566109317,-1.107099273,358.8929007,-1.107099273,-0.007698327951,-0.005132218634,1800.867653
2306.747189,-0.005341293558,178.8820767,-0.002670646779,-1.117923296,358.8820767,-1.117923296,-0.008011940337,-0.005341293558,1816.747189
2322.736796,-0.004605794618,178.8750326,-0.002302897309,-1.124967385,358.8750326,-1.124967385,-0.006908691927,-0.004605794618,1832.736796
2338.837239,-0.005021854966,178.8655925,-0.002510927483,-1.134407544,358.8655925,-1.134407544,-0.007532782449,-0.005021854966,1848.837239
2355.049284,-0.004656933781,178.8616646,-0.00232846689,-1.138335387,358.8616646,-1.138335387,-0.006985400672,-0.004656933781,1865.049284
2371.373706,-0.004804218014,178.8541175,-0.002402109007,-1.145882488,358.8541175,-1.145882488,-0.007206327021,-0.004804218014,1881.373706
2387.811283,-0.005010900297,178.8450991,-0.002505450148,-1.154900859,358.8450991,-1.154900859,-0.007516350446,-0.005010900297,1897.811283
2404.3628,-0.004621688794,178.8379805,-0.002310844397,-1.162019466,358.8379805,-1.162019466,-0.006932533191,-0.004621688794,1914.3628
2421.029047,-0.004686751312,178.8264301,-0.002343375656,-1.173569912,358.8264301,-1.173569912,-0.007030126968,-0.004686751312,1931.029047
2437.810818,-0.005014962062,178.8199882,-0.002507481031,-1.18001178,358.8199882,-1.18001178,-0.007522443093,-0.005014962062,1947.810818
2454.708916,-0.00485386109,178.8099453,-0.002426930545,-1.190054672,358.8099453,-1.190054672,-0.007280791635,-0.00485386109,1964.708916
2471.724145,-0.004926332703,178.8056877,-0.002463166351,-1.194312287,358.8056877,-1.194312287,-0.007389499055,-0.004926332703,1981.724145
2488.857318,-0.004802006118,178.7956475,-0.002401003059,-1.204352457,358.7956475,-1.204352457,-0.007203009177,-0.004802006118,1998.857318
2506.109253,-0.005296967013,178.7873164,-0.002648483506,-1.212683617,358.7873164,-1.212683617,-0.00794545052,-0.005296967013,2016.109253
2523.480772,-0.004539120421,178.7784438,-0.00226956021,-1.221556157,358.7784438,-1.221556157,-0.006808680632,-0.004539120421,2033.480772
2540.972706,-0.004659342935,178.7690351,-0.002329671468,-1.230964903,358.7690351,-1.230964903,-0.006989014403,-0.004659342935,2050.972706
2558.585887,-0.004546767704,178.7661446,-0.002273383852,-1.233855371,358.7661446,-1.233855371,-0.006820151556,-0.004546767704,2068.585887
2576.321157,-0.00500855628,178.7537561,-0.00250427814,-1.246243904,358.7537561,-1.246243904,-0.00751283442,-0.00500855628,2086.321157
2594.179362,-0.00487487509,178.743612,-0.002437437545,-1.256387976,358.743612,-1.256387976,-0.007312312635,-0.00487487509,2104.179362
2612.161354,-0.004497062561,178.738243,-0.002248531281,-1.261756962,358.738243,-1.261756962,-0.006745593842,-0.004497062561,2122.161354
2630.267992,-0.004524407391,178.7299897,-0.002262203696,-1.270010314,358.7299897,-1.270010314,-0.006786611087,-0.004524407391,2140.267992
2648.500139,-0.004773400451,178.7183113,-0.002386700225,-1.281688742,358.7183113,-1.281688742,-0.007160100677,-0.004773400451,2158.500139
